Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601060259,Tuesday,Post-NA,134.61,0.00,44.90,134.36,2,23,0,3.79,39.13,47.62,45.45,34.09,44,40.00,90.48,32.47,21.43,50.00
2601101213,Saturday,Pre-Asia,134.61,0.00,51.88,153.42,5,28,0,4.04,50.00,50.85,53.33,37.68,69,66.67,85.00,37.63,30.07,75.89
2601121404,Monday,Post-Asia,134.61,-1.70,39.24,148.49,5,18,0,3.39,36.84,30.00,50.00,38.71,31,80.00,80.77,18.87,32.91,30.04
2602142238,Sunday,EU-NA,132.92,985.50,47.33,129.71,3,19,0,4.39,40.91,51.79,45.28,20.97,62,60.00,88.89,31.58,27.48,65.53
2602210222,Saturday,Pre-NA,111.84,-2.67,35.42,98.84,4,16,0,3.88,33.33,36.17,35.29,32.35,34,20.00,80.00,19.72,26.04,7.32
2602241113,Tuesday,Pre-Asia,109.17,-0.14,41.13,116.92,7,22,0,3.84,19.36,48.84,48.00,35.29,51,33.33,86.84,20.93,30.64,26.47
2603050703,Thursday,NA-Asia,109.03,2.79,47.83,146.68,7,27,0,3.65,31.58,48.33,55.56,41.82,55,60.00,90.00,25.33,34.78,66.44
2603062211,Saturday,Post-EU,111.82,0.37,59.84,118.91,3,22,0,4.74,62.50,59.65,58.70,19.74,76,40.00,93.75,39.24,37.80,48.40
2603080629,Sunday,NA-Asia,112.19,1.83,50.40,149.18,5,27,1,3.65,61.91,47.27,48.98,41.27,63,60.00,88.89,34.83,28.80,72.59
2603090804,Monday,NA-Asia,114.02,-5.14,40.87,113.84,1,22,0,3.72,44.00,32.56,46.81,40.43,47,0.00,84.85,23.17,28.70,9.05
2603092230,Tuesday,EU-NA,108.87,0.43,47.57,131.35,2,23,1,3.96,38.09,51.22,48.78,40.82,49,40.00,80.56,29.85,34.95,43.00
2603121924,Friday,Pre-EU,109.30,-0.31,41.82,122.05,3,22,0,3.83,44.44,45.45,37.50,30.43,46,60.00,85.29,22.37,30.91,13.33
2603260442,Thursday,Post-NA,108.99,-0.85,43.08,113.10,4,20,0,4.00,31.58,32.65,54.84,26.79,56,41.67,93.75,26.53,24.61,24.28
2603300642,Monday,NA-Asia,108.14,-0.33,44.33,112.04,4,18,0,4.16,63.64,32.26,43.18,30.23,43,80.00,81.25,26.15,32.99,28.35
2603302057,Tuesday,Post-EU,107.81,4.42,40.91,135.06,8,25,0,3.36,28.57,29.41,63.16,48.89,45,66.67,83.87,24.05,28.18,53.23
2604041820,Sunday,Pre-EU,112.23,0.45,39.02,55.34,0,2,0,5.00,11.11,43.75,50.00,6.25,16,0.00,90.00,22.58,24.39,24.39
