Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,77.66,0.00,21.30,70.57,2,10,1,3.70,20.00,17.02,26.09,34.78,23,40.00,84.61,1.22,24.07,50.00
2601041654,Monday,Asia-EU,77.66,0.00,17.24,43.76,1,9,4,4.60,21.43,17.31,13.89,30.00,20,60.00,71.43,5.26,18.10,31.47
2601060259,Tuesday,Post-NA,77.66,0.00,25.81,77.80,1,13,0,3.96,17.65,25.53,31.03,33.33,24,20.00,80.77,4.48,27.96,76.97
2601071142,Wednesday,Pre-Asia,77.66,0.00,28.16,71.72,2,10,0,4.31,36.84,10.26,40.00,31.03,29,16.67,96.15,5.20,25.24,77.87
2601151015,Thursday,Pre-Asia,77.66,0.00,17.56,60.17,1,11,2,3.78,10.71,20.34,18.18,34.78,23,25.00,95.24,2.73,16.03,30.16
2601191138,Monday,Pre-Asia,77.66,0.00,18.98,33.15,1,6,4,5.23,16.67,20.00,18.97,26.92,26,41.67,85.71,1.83,20.44,28.58
2602010552,Sunday,NA-Asia,77.66,9.50,24.43,89.37,7,19,2,3.41,10.53,22.03,32.08,53.12,32,25.00,80.56,3.16,27.48,73.09
2602030746,Tuesday,NA-Asia,87.17,0.50,22.02,68.66,3,11,0,4.25,14.29,14.29,32.61,33.33,24,40.00,66.67,7.32,24.77,50.50
2602042002,Thursday,Post-EU,87.72,1.70,25.00,60.31,0,9,2,4.60,25.00,13.46,37.50,16.67,30,60.00,78.12,5.68,26.67,59.56
2602110645,Wednesday,NA-Asia,89.39,637.40,27.78,69.79,1,11,1,4.23,18.52,26.41,34.78,20.00,35,33.33,90.32,7.37,24.60,84.72
2602160834,Monday,Pre-Asia,72.68,0.22,27.97,74.69,3,14,1,3.94,30.43,20.00,35.56,39.39,33,33.33,96.67,4.54,25.42,64.72
2602180911,Wednesday,Pre-Asia,72.90,0.75,20.57,35.68,1,7,3,4.79,16.00,18.97,24.14,20.69,29,50.00,71.43,3.77,24.82,11.26
2602211142,Saturday,Pre-Asia,73.65,0.83,23.70,69.10,3,17,1,3.94,16.00,16.67,33.93,40.62,32,50.00,72.97,5.10,27.41,55.73
2602280634,Saturday,NA-Asia,74.48,2.15,22.40,63.29,2,14,1,3.68,14.81,21.74,26.92,39.29,28,83.33,77.78,7.14,21.60,44.43
2603050703,Thursday,NA-Asia,76.63,4.34,29.09,79.73,3,11,0,3.78,28.00,25.58,33.33,25.00,32,100.00,83.33,2.70,32.73,61.04
2603090804,Monday,NA-Asia,80.97,2.20,17.65,59.78,4,10,1,3.52,10.00,16.33,22.00,42.86,21,50.00,100.00,1.01,16.81,22.10
2603121924,Friday,Pre-EU,83.17,-2.82,23.64,57.04,1,11,2,4.42,16.67,17.50,32.61,30.77,26,20.00,88.00,4.71,22.73,26.10
2603151856,Monday,Pre-EU,80.36,1.70,25.00,81.54,4,14,1,3.60,15.38,27.78,24.24,48.00,25,60.00,79.31,2.82,29.00,45.80
2603181145,Wednesday,Pre-Asia,82.05,0.09,25.00,83.46,5,13,0,3.52,15.79,17.50,39.39,47.83,23,0.00,95.24,4.22,22.83,55.38
2603200843,Friday,Pre-Asia,82.14,1.07,23.88,58.85,2,13,0,4.22,0.00,25.00,28.81,31.25,32,66.67,82.76,7.62,21.64,46.73
2603201153,Friday,Pre-Asia,83.21,-2.18,25.00,56.94,1,16,1,4.32,14.29,17.31,34.92,29.41,34,16.67,90.91,3.88,24.27,35.51
2603220930,Sunday,Pre-Asia,81.03,1.64,27.01,60.29,2,11,1,4.32,14.81,23.88,39.53,18.92,37,58.33,81.08,7.00,27.01,62.43
2603260442,Thursday,Post-NA,82.67,0.33,27.01,76.88,2,18,4,3.84,35.00,16.67,31.88,29.73,37,50.00,88.23,6.80,24.82,62.01
2603271441,Friday,Post-Asia,83.00,4.23,31.03,118.42,10,27,0,3.24,24.14,22.81,42.37,51.11,45,100.00,85.42,4.12,33.10,81.15
2603311355,Tuesday,Post-Asia,87.23,-1.44,21.09,61.71,5,14,1,3.89,11.11,11.63,32.76,37.04,27,33.33,82.14,4.00,21.88,10.74
2604010803,Wednesday,NA-Asia,85.80,-0.80,25.93,53.49,3,9,2,4.89,27.78,19.05,33.33,20.00,35,50.00,77.78,7.07,26.67,35.57
2604032123,Saturday,Post-EU,85.00,-0.59,24.65,59.99,2,15,4,4.49,17.39,25.00,27.45,34.29,35,20.00,80.00,2.94,28.17,13.52
2604051044,Sunday,Pre-Asia,84.40,-1.07,29.50,70.70,1,15,0,4.29,57.14,20.75,27.69,29.27,41,33.33,86.11,9.71,25.90,56.34
2604061117,Monday,Pre-Asia,83.33,-1.37,23.38,51.31,2,12,3,4.61,17.39,13.79,32.88,25.00,36,33.33,79.41,7.50,22.08,16.74
2604150427,Wednesday,Post-NA,81.97,-0.93,26.27,58.21,1,9,0,4.23,23.81,28.85,24.44,32.26,31,20.00,82.14,8.89,23.73,32.81
2604211807,Wednesday,Pre-EU,81.03,2.93,33.33,102.37,4,21,1,3.74,47.06,21.43,39.13,40.00,35,80.00,80.56,8.70,34.29,84.59
2604240700,Friday,NA-Asia,83.96,2.20,26.96,90.49,6,16,0,3.32,22.22,28.89,27.91,38.71,31,66.67,86.21,6.98,25.22,81.82
2604270750,Monday,NA-Asia,86.16,1.25,28.41,95.36,3,15,0,3.24,21.43,35.71,21.88,44.00,25,60.00,79.31,3.39,32.95,66.66
2604280742,Tuesday,NA-Asia,87.41,-0.15,28.57,105.80,6,16,0,3.21,22.22,21.05,37.84,50.00,24,80.00,95.65,3.28,27.38,66.86
2605050720,Tuesday,NA-Asia,87.26,1.49,25.93,96.33,5,18,0,3.07,29.41,30.00,21.57,53.57,28,50.00,86.96,9.41,21.30,75.00
2605061544,Thursday,Asia-EU,88.75,1.52,24.18,73.21,3,13,0,3.23,26.67,23.08,24.32,63.64,22,33.33,85.71,5.71,23.08,39.73
2605091352,Saturday,Post-Asia,90.27,2.29,30.09,89.00,6,19,0,3.50,14.29,27.45,37.50,47.06,34,50.00,76.47,10.13,30.09,82.33
2605100702,Sunday,NA-Asia,92.56,-0.81,22.81,61.14,2,8,2,4.00,20.00,21.43,25.00,23.08,26,40.00,85.19,3.45,23.68,10.26
2605140501,Thursday,Post-NA,91.75,-1.20,22.90,71.54,2,16,1,3.73,17.65,18.52,28.33,40.00,30,66.67,86.21,4.90,22.14,20.57
2605271414,Wednesday,Post-Asia,90.55,1.73,33.33,97.48,4,11,0,3.64,25.00,27.59,41.18,40.00,25,40.00,84.00,8.00,33.33,73.18
2606090610,Tuesday,NA-Asia,92.28,-2.03,25.00,57.13,1,11,4,4.28,16.00,27.27,27.08,31.25,32,40.00,90.00,5.10,23.44,18.17
2606111814,Friday,Pre-EU,90.25,-1.07,23.31,63.98,2,16,0,3.68,13.04,22.41,28.85,41.94,31,50.00,80.00,3.06,26.32,12.32
2606151814,Tuesday,Pre-EU,89.18,-0.92,22.83,80.32,4,13,0,3.52,23.53,15.79,29.73,52.38,21,60.00,83.33,1.47,26.09,28.77
2606210153,Sunday,Pre-NA,88.25,-0.92,19.48,59.05,0,10,0,3.07,21.43,12.00,23.68,53.33,15,60.00,76.47,3.33,22.08,13.88
2606231603,Wednesday,Asia-EU,87.34,-2.58,23.14,49.34,3,7,1,4.54,10.00,25.00,26.32,28.57,28,33.33,82.76,4.35,23.97,17.58
