Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,77.68,0.00,20.37,46.92,1,5,0,4.46,26.67,17.02,21.74,27.27,22,40.00,67.86,3.75,25.93,50.00
2601041654,Monday,Asia-EU,77.68,0.00,23.53,51.05,1,7,4,4.71,34.48,10.20,31.71,21.43,28,60.00,63.89,6.02,30.25,64.18
2601052355,Tuesday,EU-NA,77.68,0.00,24.30,71.83,2,12,0,3.58,25.00,18.61,30.00,42.31,26,83.33,83.33,7.23,22.43,82.10
2601060259,Tuesday,Post-NA,77.68,0.00,19.82,46.99,1,6,0,4.41,36.84,10.00,23.81,27.27,22,80.00,62.96,5.95,24.32,31.17
2601061215,Tuesday,Pre-Asia,77.68,0.00,19.39,69.86,4,10,0,3.58,19.05,14.63,25.00,42.11,19,66.67,57.69,5.56,26.53,46.76
2601121404,Monday,Post-Asia,77.68,0.00,33.02,92.38,3,12,1,4.17,47.62,19.51,38.64,22.86,35,40.00,84.85,9.59,31.13,75.95
2601121920,Tuesday,Pre-EU,77.68,0.00,17.14,54.96,1,8,2,3.72,29.17,10.26,16.67,38.89,18,60.00,70.00,4.71,19.05,23.71
2601141040,Wednesday,Pre-Asia,77.68,0.00,31.34,85.29,1,16,1,4.19,43.33,19.23,36.54,30.95,42,50.00,72.73,11.11,32.84,74.87
2601142226,Thursday,Post-EU,77.68,0.00,35.71,88.23,2,10,1,4.43,30.43,31.71,44.12,31.43,35,80.00,78.79,13.85,33.67,82.54
2601151819,Friday,Pre-EU,77.68,0.00,26.77,73.14,4,14,0,4.18,33.33,21.43,30.00,35.29,34,66.67,63.89,12.09,28.35,74.33
2601161904,Saturday,Pre-EU,77.68,0.00,22.00,60.79,3,9,0,3.96,40.00,19.05,18.61,31.82,22,20.00,68.97,2.82,29.00,20.97
2601170250,Saturday,Post-NA,77.68,0.00,24.60,62.71,1,13,1,4.42,24.00,27.45,22.00,29.03,31,33.33,67.50,4.65,31.75,24.34
2601191138,Monday,Pre-Asia,77.68,0.00,29.17,59.55,1,11,4,4.67,38.09,25.00,29.85,26.19,42,33.33,71.43,7.37,34.03,45.21
2601211018,Wednesday,Pre-Asia,77.68,0.00,30.00,72.33,3,14,1,4.50,37.04,31.48,25.42,21.43,42,33.33,76.92,11.88,27.86,69.06
2601211541,Thursday,Asia-EU,77.68,0.00,22.96,56.76,2,7,0,4.36,26.92,22.64,21.43,22.58,31,30.00,66.67,8.82,24.44,23.58
2601231253,Friday,Post-Asia,77.68,0.00,24.43,54.05,3,8,3,5.00,25.71,16.28,30.19,18.75,32,66.67,73.33,9.90,22.90,42.26
2601241546,Sunday,Asia-EU,77.68,0.00,18.26,48.54,1,5,1,4.33,22.22,21.57,10.81,23.81,21,60.00,51.72,6.98,25.22,19.18
2601291924,Friday,Pre-EU,77.68,0.00,17.17,44.14,1,6,1,3.94,34.78,17.24,8.51,11.76,17,60.00,56.00,4.05,25.25,19.01
2601301234,Friday,Post-Asia,77.68,0.00,23.68,56.17,2,8,1,4.18,26.67,16.67,30.56,18.52,27,50.00,80.00,11.70,17.54,50.25
2601301922,Saturday,Pre-EU,77.68,0.00,25.89,75.63,5,10,1,4.00,21.43,28.26,26.32,31.03,29,50.00,80.00,6.10,26.79,72.36
2602010745,Sunday,NA-Asia,77.68,23.50,25.24,47.02,0,8,0,4.31,35.29,28.95,18.75,3.85,26,20.00,56.76,7.58,35.92,41.33
2602011658,Monday,Asia-EU,101.14,-23.50,19.68,42.35,0,6,0,4.80,22.22,18.75,19.67,16.00,25,20.00,70.83,7.77,18.90,15.34
2602022101,Tuesday,Post-EU,77.68,21.30,30.84,59.25,2,6,0,5.21,31.58,27.66,34.15,15.15,33,60.00,72.97,8.57,34.58,88.36
2602030746,Tuesday,NA-Asia,99.01,1.30,31.01,77.73,1,15,1,4.45,44.83,24.19,31.58,30.00,40,100.00,75.61,10.23,31.78,74.05
2602042002,Thursday,Post-EU,100.30,-2.30,16.67,38.49,0,5,3,4.56,43.75,11.32,12.82,11.11,18,40.00,59.09,5.81,20.37,1.60
2602061239,Friday,Post-Asia,97.99,-0.30,25.50,62.42,0,12,2,4.47,30.00,28.36,19.23,15.79,38,50.00,68.08,5.88,31.54,49.58
2602061807,Saturday,Pre-EU,97.74,1.10,25.22,78.07,1,14,0,4.21,22.22,18.61,33.33,44.83,29,50.00,75.00,9.20,24.35,66.94
2602072156,Sunday,Post-EU,98.85,0.30,20.00,54.99,2,9,1,4.46,21.43,22.03,17.02,33.33,24,40.00,56.67,7.78,25.00,13.18
2602081856,Monday,Pre-EU,99.15,-1.40,23.33,68.50,3,8,0,4.33,31.25,21.62,21.62,33.33,21,0.00,59.26,7.94,30.00,40.76
2602102142,Wednesday,Post-EU,97.73,-1.00,23.59,71.12,2,10,0,4.04,31.25,17.95,25.49,32.00,25,50.00,65.52,7.79,27.36,47.69
2602111107,Wednesday,Pre-Asia,96.71,1.20,31.03,74.43,3,13,1,4.60,45.16,17.74,38.46,24.44,45,33.33,73.47,9.38,33.79,87.52
2602121847,Friday,Pre-EU,97.90,1.50,21.95,69.84,2,11,0,3.74,30.43,25.86,11.90,29.63,27,50.00,68.97,7.45,23.58,41.27
2602140954,Saturday,Pre-Asia,99.35,0.70,27.86,74.14,1,13,0,4.41,36.36,16.39,36.84,20.51,39,66.67,77.50,8.00,28.57,84.27
2602151018,Sunday,Pre-Asia,100.04,0.50,30.62,79.91,2,16,1,4.49,45.16,24.29,30.51,28.57,49,83.33,80.44,10.53,28.75,92.31
2602151911,Monday,Pre-EU,100.55,745.40,25.00,93.59,2,12,1,3.39,29.41,23.08,25.00,47.83,23,50.00,79.17,5.88,26.09,67.40
2602171440,Tuesday,Post-Asia,84.59,-0.50,25.00,46.77,1,5,1,4.61,39.13,16.07,28.89,16.13,31,33.33,71.43,11.46,22.58,30.34
2602180911,Wednesday,Pre-Asia,84.09,1.24,30.16,72.25,3,15,0,4.21,31.03,27.50,31.58,36.84,38,66.67,65.00,13.95,31.75,64.14
2602201901,Saturday,Pre-EU,85.33,1.81,30.39,92.60,2,19,0,3.45,33.33,25.58,34.15,51.61,31,50.00,80.00,9.72,29.41,68.92
2602211352,Saturday,Post-Asia,87.14,0.71,29.03,66.36,2,14,1,4.47,22.22,26.15,34.92,26.67,45,50.00,80.85,6.48,30.32,36.15
2602221011,Sunday,Pre-Asia,87.86,2.19,28.47,76.81,3,20,1,3.97,30.77,25.93,29.82,38.46,39,66.67,69.77,9.57,31.39,54.51
2602240917,Tuesday,Pre-Asia,90.05,-1.70,19.05,51.14,2,10,0,4.00,19.23,16.67,22.50,20.83,24,33.33,62.07,6.19,23.02,5.62
2602242102,Wednesday,Post-EU,88.35,0.74,29.41,83.58,7,15,3,3.97,39.39,28.26,22.50,31.43,35,33.33,82.05,3.75,32.77,51.81
2602251607,Thursday,Asia-EU,89.09,-0.15,24.55,38.35,0,5,2,5.07,29.41,26.19,21.57,18.52,27,60.00,66.67,8.75,27.27,14.60
2602270936,Friday,Pre-Asia,88.94,-0.63,26.67,69.13,2,13,0,4.12,24.14,23.53,32.50,25.00,32,66.67,73.33,11.11,25.00,45.45
2602271905,Saturday,Pre-EU,88.31,1.54,30.97,89.86,4,18,0,3.60,20.00,41.30,25.00,45.71,35,66.67,79.41,10.13,30.09,95.66
2602281316,Saturday,Post-Asia,89.85,0.34,26.13,63.55,3,10,0,4.31,23.53,20.00,32.65,27.59,29,40.00,63.64,10.26,29.73,24.42
2603042212,Thursday,Post-EU,90.19,-1.21,20.83,40.21,1,8,1,4.87,27.59,9.09,28.33,20.00,30,83.33,65.71,6.42,24.31,8.49
2603071932,Sunday,Post-EU,88.99,-0.86,28.07,65.73,2,13,0,4.44,46.67,30.77,19.15,34.38,32,40.00,79.31,10.59,25.44,60.63
2603091023,Monday,Pre-Asia,88.13,-0.53,33.12,71.39,3,16,2,4.62,54.55,26.09,29.31,16.98,53,50.00,77.36,11.21,33.12,65.61
2603101304,Tuesday,Post-Asia,87.61,-1.32,22.73,60.84,4,8,2,3.92,16.67,23.40,24.44,32.00,25,33.33,70.59,1.32,30.91,13.99
2603121924,Friday,Pre-EU,86.29,-0.13,30.00,56.41,0,12,1,4.70,41.67,15.00,36.96,18.18,33,20.00,75.00,11.54,29.09,54.84
2603131003,Friday,Pre-Asia,86.16,0.34,32.20,67.64,1,11,0,4.45,36.00,29.17,33.33,23.68,38,60.00,82.93,5.20,34.75,78.91
2603140817,Saturday,NA-Asia,86.50,0.03,27.03,82.26,3,14,0,3.60,32.00,22.50,28.26,33.33,30,60.00,76.67,8.64,27.03,68.10
2603151856,Monday,Pre-EU,86.53,-0.95,21.59,62.72,1,13,0,3.53,10.00,28.26,18.18,52.63,19,20.00,84.21,4.35,21.59,20.63
2603160811,Monday,NA-Asia,85.57,-2.91,18.30,37.50,2,6,1,4.46,15.38,16.67,22.45,21.43,28,58.33,56.41,5.26,25.49,9.77
2603171602,Wednesday,Asia-EU,82.66,0.87,31.25,68.60,1,11,1,4.31,37.50,23.26,35.56,20.00,35,80.00,67.57,13.33,33.04,78.32
2603191900,Friday,Pre-EU,83.53,0.95,28.15,81.25,2,19,0,3.68,38.71,20.34,31.11,44.74,38,16.67,62.16,15.31,27.41,75.14
2603192215,Friday,Post-EU,84.48,0.58,26.97,65.74,4,13,2,4.49,40.74,12.24,31.58,26.83,41,66.67,75.00,9.82,26.32,72.71
2603201153,Friday,Pre-Asia,85.06,-1.81,27.12,54.94,2,10,0,4.78,31.82,19.61,33.33,28.12,32,66.67,63.64,5.41,37.29,26.95
2603201902,Saturday,Pre-EU,83.26,-1.38,16.92,38.04,3,8,1,4.50,21.05,12.70,20.83,27.27,22,50.00,54.29,3.16,26.92,9.09
2603211606,Sunday,Asia-EU,81.88,0.72,25.93,60.17,3,7,0,4.25,31.58,22.73,26.67,25.00,28,40.00,78.57,7.50,25.93,52.72
