Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601070522,Wednesday,Post-NA,134.64,0.00,40.16,109.23,5,22,0,3.96,40.00,32.65,47.92,35.29,51,50.00,100.00,27.62,17.32,50.00
2601090238,Friday,Post-NA,134.64,0.00,35.05,137.22,6,24,0,2.94,18.75,28.20,47.62,58.82,34,50.00,100.00,21.25,17.53,44.56
2601141040,Wednesday,Pre-Asia,134.64,0.00,40.19,126.51,3,17,0,3.93,40.00,40.48,40.00,37.21,43,60.00,100.00,27.27,17.76,66.66
2601170753,Saturday,NA-Asia,134.64,0.00,48.06,153.92,6,28,0,3.58,58.33,52.27,40.98,33.87,62,50.00,100.00,29.47,26.36,71.52
2601231253,Friday,Post-Asia,134.64,0.00,48.48,138.87,6,32,0,4.12,58.06,46.05,46.55,32.50,80,75.00,97.96,27.59,29.70,72.41
2601241546,Sunday,Asia-EU,134.64,0.30,45.37,135.35,5,16,0,4.31,47.06,46.00,43.90,28.57,49,20.00,95.83,30.95,22.22,62.23
2602011658,Monday,Asia-EU,134.94,4.80,47.93,150.36,5,27,0,4.29,40.91,45.45,54.55,34.48,58,80.00,100.00,30.77,24.79,86.86
2602042002,Thursday,Post-EU,139.75,-1.30,43.75,130.80,3,17,1,4.26,50.00,56.41,25.71,30.95,42,60.00,95.65,27.40,23.96,19.58
2602081856,Monday,Pre-EU,138.40,1050.10,45.05,134.64,3,21,0,3.86,78.95,33.96,43.59,34.00,50,60.00,95.45,32.58,19.82,60.92
2602192118,Friday,Post-EU,118.85,1.35,41.29,121.39,8,28,0,3.81,47.37,32.26,47.27,31.25,64,83.33,97.37,23.08,24.52,22.34
2602270936,Friday,Pre-Asia,120.20,1.05,42.50,120.05,5,21,1,3.84,31.03,41.18,52.50,25.49,51,66.67,100.00,22.47,25.83,22.44
2602280634,Saturday,NA-Asia,121.26,2.42,42.40,129.42,6,27,1,3.51,40.74,36.96,48.08,39.62,53,83.33,96.77,24.47,24.80,20.56
2603050703,Thursday,NA-Asia,123.68,-4.33,32.17,93.49,4,16,0,3.76,26.32,30.00,38.89,37.84,37,60.00,100.00,19.59,15.65,18.10
2603290443,Sunday,Post-NA,119.34,-1.05,38.39,144.22,9,26,0,3.02,26.67,36.73,43.75,58.14,43,33.33,100.00,27.37,15.18,46.66
2604010803,Wednesday,NA-Asia,118.30,0.81,51.11,158.67,12,31,4,3.90,44.44,60.32,42.59,34.78,69,50.00,100.00,38.32,20.74,65.47
2604020651,Thursday,NA-Asia,119.11,0.21,47.54,130.30,3,28,0,3.76,47.83,45.10,50.00,27.59,58,33.33,100.00,29.67,25.41,50.43
2604100500,Friday,Post-NA,119.32,-0.05,49.51,150.65,3,29,0,3.58,72.22,46.15,43.18,38.00,50,60.00,100.00,32.00,25.74,65.73
2604110718,Saturday,NA-Asia,119.27,1.41,40.94,123.13,7,31,1,3.69,36.67,42.86,40.82,40.98,61,50.00,93.10,28.33,19.46,27.25
2604141016,Tuesday,Pre-Asia,120.68,-2.71,37.14,104.34,2,24,0,4.10,25.00,29.51,50.91,40.38,52,33.33,94.12,18.87,24.29,9.20
2604150427,Wednesday,Post-NA,117.96,-1.53,37.27,113.69,3,19,0,3.63,26.09,38.30,42.50,43.90,41,20.00,100.00,21.59,20.00,17.31
2604171040,Friday,Pre-Asia,116.44,1.39,46.60,140.97,3,25,0,3.58,33.33,49.09,50.00,41.67,48,66.67,100.00,32.93,20.39,85.96
2604181030,Saturday,Pre-Asia,117.83,0.64,39.85,124.76,6,28,0,3.62,37.50,41.38,39.22,39.62,53,66.67,100.00,25.23,19.55,47.67
2604250702,Saturday,NA-Asia,118.47,1.78,50.94,133.71,3,26,1,3.98,53.33,50.00,50.98,48.15,54,60.00,95.83,37.80,22.64,78.76
2604270750,Monday,NA-Asia,120.25,-0.13,48.19,170.73,6,26,0,3.15,35.00,47.06,58.62,67.50,40,40.00,88.89,28.57,32.53,50.04
2604271001,Monday,Pre-Asia,120.12,-0.35,46.77,126.88,5,23,1,4.05,52.63,35.71,57.14,34.48,58,60.00,96.77,30.11,25.00,50.45
2604300458,Thursday,Post-NA,119.76,-0.07,37.33,159.37,8,19,0,2.68,27.27,40.00,37.93,57.14,28,40.00,100.00,21.67,20.00,44.70
2605010624,Friday,NA-Asia,119.69,-1.69,36.67,135.85,5,24,1,3.21,21.43,35.13,43.59,48.48,33,40.00,100.00,19.72,21.11,32.58
2605030928,Sunday,Pre-Asia,118.00,-1.20,42.19,147.16,5,28,0,3.50,50.00,36.92,45.95,40.74,54,33.33,100.00,22.11,25.78,44.88
2605061615,Thursday,Asia-EU,116.80,0.21,46.34,121.36,4,24,1,4.42,39.39,50.00,46.38,31.58,76,25.00,95.24,29.51,25.61,54.71
2605091419,Saturday,Post-Asia,117.01,-1.01,48.23,93.26,1,14,1,4.87,39.13,55.07,42.86,16.18,68,33.33,100.00,29.81,26.24,45.90
2605120931,Tuesday,Pre-Asia,116.00,-2.06,35.42,102.09,3,16,0,3.79,35.29,33.33,37.84,47.06,34,33.33,94.44,21.80,18.75,9.52
2605200627,Wednesday,NA-Asia,113.94,-0.42,38.67,114.49,7,22,1,4.26,41.67,36.36,39.44,34.48,58,50.00,93.75,23.73,21.33,29.23
2605220401,Friday,Post-NA,113.52,-11.86,38.53,111.91,2,20,0,3.76,35.71,27.50,47.27,45.24,42,16.67,92.86,19.75,25.69,9.27
2605310851,Sunday,Pre-Asia,101.66,-3.65,45.61,96.46,2,16,0,4.33,46.67,50.00,41.51,26.92,52,20.00,100.00,35.42,15.79,46.87
2606110729,Thursday,NA-Asia,98.01,0.82,50.00,118.43,6,20,1,4.44,60.00,42.86,52.94,24.24,66,30.00,93.94,35.35,25.00,64.57
2606120712,Friday,NA-Asia,98.83,-0.37,46.62,121.38,7,29,0,4.13,38.09,46.15,50.00,30.65,62,83.33,100.00,31.07,22.56,91.90
2606140418,Sunday,Post-NA,98.45,0.12,47.79,104.67,4,16,1,4.32,53.33,51.06,43.14,22.22,54,80.00,92.00,35.23,22.12,59.34
2606271740,Sunday,Pre-EU,98.57,-0.06,45.38,123.38,6,19,0,4.00,47.37,36.36,51.79,25.93,54,60.00,100.00,26.97,25.21,72.66
2606281724,Monday,Asia-EU,98.51,0.34,47.11,113.50,3,21,1,4.12,51.85,40.00,52.27,28.07,57,20.00,100.00,32.63,21.49,81.31
2606290521,Monday,Post-NA,98.85,1.62,45.45,120.26,6,34,0,3.84,53.33,42.47,45.10,31.43,70,66.67,95.92,21.91,31.82,74.37
2606301029,Tuesday,Pre-Asia,100.46,1.46,48.44,135.28,7,26,0,3.95,60.00,35.13,51.52,38.71,62,60.00,94.74,28.89,29.69,80.79
2607020420,Thursday,Post-NA,101.93,3.13,53.79,141.68,12,32,0,3.75,73.91,54.10,43.75,33.80,71,100.00,91.43,40.21,26.52,87.72
2607040715,Saturday,NA-Asia,105.06,0.24,44.44,117.04,6,25,2,4.12,57.14,46.15,38.71,36.67,60,33.33,85.71,33.65,20.74,29.53
2607060437,Monday,Post-NA,105.30,1.49,46.76,128.05,8,30,0,3.72,58.33,45.90,42.59,40.00,65,66.67,96.77,32.41,22.30,80.08
2607070402,Tuesday,Post-NA,106.79,1.36,48.35,140.01,6,22,0,3.57,30.00,57.14,43.59,40.91,44,60.00,100.00,22.95,32.97,67.25
2607100423,Friday,Post-NA,108.14,-0.53,44.12,102.36,3,19,0,3.98,40.00,42.00,47.62,31.11,45,40.00,94.74,32.53,18.63,18.89
2607100843,Friday,Pre-Asia,107.61,-0.60,40.00,109.93,3,22,0,3.75,37.50,42.42,39.53,47.50,40,33.33,100.00,26.83,18.00,17.99
2607110505,Saturday,Post-NA,107.02,0.02,46.21,130.98,8,24,0,3.80,55.56,36.07,54.55,42.62,61,30.00,100.00,27.55,25.76,50.85
2607120918,Sunday,Pre-Asia,107.03,1.73,47.79,151.63,8,36,0,3.31,53.85,44.64,48.15,47.69,65,66.67,100.00,34.86,19.85,91.59
2607142114,Wednesday,Post-EU,108.77,0.41,47.52,143.41,9,33,0,3.58,47.62,56.90,38.71,41.79,67,50.00,94.44,31.43,25.53,57.23
2607160658,Thursday,NA-Asia,109.17,-0.95,43.07,99.41,5,19,0,4.34,44.83,37.78,46.03,23.73,59,66.67,100.00,28.44,20.44,22.98
2607170811,Friday,NA-Asia,108.22,0.00,36.28,107.13,6,21,0,3.56,52.63,30.77,35.71,51.22,41,25.00,100.00,22.58,17.70,22.85
2607170812,Friday,NA-Asia,108.22,-2.77,36.28,107.13,6,21,0,3.56,52.63,30.77,35.71,51.22,41,25.00,100.00,22.58,17.70,17.79
2607172308,Saturday,EU-NA,105.45,0.44,49.17,132.09,2,33,0,3.61,65.52,37.21,50.00,49.15,59,66.67,96.15,36.17,21.67,82.04
2607181144,Saturday,Pre-Asia,105.89,-1.21,42.99,128.81,6,27,0,3.63,41.67,45.65,40.82,47.83,46,16.67,100.00,26.51,22.43,42.08
2607191039,Sunday,Pre-Asia,104.68,-1.00,39.23,89.32,3,15,1,4.47,38.09,38.64,40.00,33.33,51,60.00,100.00,19.39,24.61,16.02
2607200549,Monday,NA-Asia,103.68,1.98,48.18,153.00,7,31,0,3.34,35.71,52.38,52.50,50.94,53,80.00,97.06,26.32,30.91,73.68
2607220806,Wednesday,NA-Asia,105.66,-0.16,42.66,124.93,9,30,1,3.43,42.86,43.08,42.00,36.07,61,16.67,96.77,27.68,21.68,47.19
2607240459,Friday,Post-NA,105.50,-2.52,35.51,89.33,3,17,1,3.97,28.57,28.00,46.51,28.95,38,40.00,100.00,26.60,12.15,13.31
2607251405,Saturday,Post-Asia,102.98,-1.29,36.44,118.68,10,20,0,3.51,50.00,25.53,40.82,41.86,43,33.33,96.00,20.43,21.19,27.63
2607252109,Sunday,Post-EU,101.69,1.13,47.00,130.93,5,25,0,3.70,40.91,52.78,45.24,31.91,47,50.00,100.00,31.17,23.00,83.82
2607260856,Sunday,Pre-Asia,102.82,1.32,45.31,131.93,7,29,0,3.83,37.50,48.33,45.45,39.66,58,83.33,97.22,25.00,28.12,74.28
2607270902,Monday,Pre-Asia,104.14,1.74,46.80,141.08,11,35,1,3.63,39.53,52.94,46.77,39.73,73,83.33,100.00,27.19,26.92,91.17
2607280800,Tuesday,NA-Asia,105.88,-1.00,49.58,116.72,4,20,1,4.24,48.57,47.06,52.00,30.51,59,50.00,100.00,29.41,28.57,46.38
2607300409,Thursday,Post-NA,104.88,0.51,41.67,117.69,4,30,1,3.50,35.13,48.84,40.00,42.00,50,60.00,96.67,23.33,25.00,35.87
2607310436,Friday,Post-NA,105.39,2.48,50.54,153.11,4,28,0,3.40,28.57,61.54,47.50,51.06,47,40.00,88.89,41.33,19.36,73.50
2608010630,Saturday,NA-Asia,107.87,0.32,50.86,166.83,10,38,0,3.12,54.55,48.15,52.50,52.54,59,50.00,96.77,34.12,26.72,80.10
2608011034,Saturday,Pre-Asia,108.19,-0.57,49.08,105.68,3,22,1,4.39,57.90,39.71,54.39,23.75,80,33.33,100.00,36.15,20.25,46.26
2608020439,Sunday,Post-NA,107.63,1.15,37.76,112.29,5,22,0,3.54,23.53,43.90,37.50,45.95,37,66.67,93.33,27.71,15.31,33.25
2608040458,Tuesday,Post-NA,108.78,0.40,43.69,121.90,5,23,0,3.64,42.10,42.86,45.24,33.33,45,20.00,100.00,30.12,19.42,19.42
2608040716,Tuesday,NA-Asia,109.18,0.32,49.51,148.16,4,28,0,3.58,47.37,45.65,55.56,40.00,50,40.00,100.00,36.25,20.79,62.92
2608051603,Thursday,Asia-EU,109.50,0.93,53.90,156.74,9,42,0,3.38,68.42,47.46,55.56,57.89,76,33.33,92.31,39.22,27.66,79.24
2608070819,Friday,NA-Asia,110.43,-0.67,47.55,133.51,5,38,2,3.72,55.88,41.94,48.94,48.53,68,33.33,100.00,32.43,22.38,42.38
2608090847,Sunday,Pre-Asia,109.76,-0.03,48.95,123.03,6,31,0,3.99,51.85,50.88,45.76,34.29,70,25.00,97.22,32.71,25.18,36.28
2608130814,Thursday,NA-Asia,109.73,-0.54,46.55,118.48,7,19,0,4.11,42.86,34.21,56.14,37.04,54,40.00,96.30,31.46,23.28,20.16
2608141406,Friday,Post-Asia,109.19,0.15,48.21,158.49,10,33,0,3.13,37.50,46.67,52.94,51.85,54,40.00,100.00,32.56,23.21,64.57
2608151720,Sunday,Asia-EU,109.34,0.45,49.00,167.66,9,31,0,2.98,37.50,43.24,57.45,65.31,49,83.33,100.00,35.44,21.00,84.25
2608152055,Sunday,Post-EU,109.79,0.40,44.85,124.19,3,31,0,3.59,40.91,46.88,44.00,36.07,61,16.67,96.88,28.85,23.53,26.68
2608160445,Sunday,Post-NA,110.19,1.05,53.23,146.90,9,32,0,3.82,54.17,62.26,42.55,46.97,66,50.00,94.59,35.63,29.84,86.47
2608170418,Monday,Post-NA,111.25,0.56,50.44,139.31,5,28,0,3.86,50.00,42.22,58.00,37.93,58,40.00,100.00,34.48,24.35,57.77
2608181351,Tuesday,Post-Asia,111.81,-0.14,45.83,136.89,5,28,0,3.64,44.44,54.39,35.56,52.73,55,66.67,96.77,28.09,25.83,21.13
2608230358,Sunday,Post-NA,111.67,-0.57,43.82,130.57,2,26,0,3.23,33.33,46.34,45.45,61.54,39,60.00,100.00,27.54,22.47,22.60
2608231755,Monday,Pre-EU,111.10,-0.31,43.92,118.89,3,24,1,3.64,60.00,40.00,40.54,34.04,47,33.33,100.00,24.05,26.17,13.14
2608251415,Tuesday,Post-Asia,110.79,0.65,37.80,133.70,6,21,0,2.97,56.25,30.00,38.46,51.61,31,60.00,100.00,26.09,15.85,42.08
