Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601050457,Monday,Post-NA,132.45,0.00,54.17,180.81,5,31,0,3.38,59.09,53.12,52.38,55.77,52,40.00,82.22,29.41,46.88,50.00
2601082226,Friday,Post-EU,132.45,0.00,59.16,139.45,4,27,0,4.45,77.42,51.52,57.78,22.62,84,90.00,78.57,40.28,49.30,54.25
2601082232,Friday,EU-NA,132.45,0.00,59.16,139.45,4,27,0,4.45,77.42,51.52,57.78,22.62,84,90.00,78.57,40.28,49.30,53.68
2601142226,Thursday,Post-EU,132.45,0.00,48.33,188.39,9,34,0,3.33,53.33,44.90,48.78,60.34,58,40.00,86.96,24.32,38.33,47.33
2601160213,Friday,Pre-NA,132.45,0.00,50.49,170.24,3,27,0,3.51,50.00,55.00,46.81,49.02,51,33.33,82.05,30.64,38.61,39.45
2601170250,Saturday,Post-NA,132.45,0.00,52.48,191.52,9,29,0,3.64,50.00,52.27,53.66,47.17,53,66.67,80.49,33.33,40.59,56.73
2601210505,Wednesday,Post-NA,132.45,0.00,53.85,145.24,1,30,0,3.70,45.00,50.00,63.41,46.03,63,50.00,88.00,28.36,42.73,38.53
2601212224,Thursday,Post-EU,132.45,0.00,50.00,162.96,3,26,0,3.45,71.43,43.90,45.00,39.22,51,40.00,89.47,26.56,37.26,26.10
2601240810,Saturday,NA-Asia,132.45,0.00,54.26,141.17,1,26,0,4.26,66.67,44.44,58.33,30.00,70,40.00,78.57,35.62,43.41,41.27
2601250516,Sunday,Post-NA,132.45,0.00,61.54,159.95,9,36,0,4.34,76.92,62.69,53.97,29.17,96,58.33,82.28,40.26,50.64,63.02
2601262254,Tuesday,EU-NA,132.45,2.60,38.05,109.00,2,20,0,3.88,47.62,30.00,42.86,34.88,43,40.00,69.44,23.38,31.86,23.07
2602020257,Monday,Post-NA,135.05,11.90,51.00,150.58,3,27,0,3.51,71.43,39.53,52.78,43.14,51,50.00,82.35,34.85,34.00,51.86
2602050049,Thursday,Pre-NA,146.95,-0.90,47.27,143.99,4,16,0,4.23,58.33,37.78,51.22,38.46,52,60.00,82.22,23.08,40.91,15.40
2602102142,Wednesday,Post-EU,146.02,1100.90,47.37,192.17,7,23,0,3.38,40.00,57.50,40.00,48.89,45,50.00,80.00,23.64,42.10,53.60
2602160617,Monday,NA-Asia,124.69,1.81,54.47,149.20,3,31,0,3.90,73.91,54.84,42.10,28.36,67,80.00,86.79,30.00,43.09,49.17
