Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2604240700,Friday,NA-Asia,65.00,0.68,4.80,15.11,1,4,0,3.33,12.00,6.25,0.00,50.00,6,16.67,25.00,0.00,19.20,50.00
2604240922,Friday,Pre-Asia,65.68,-3.36,3.91,9.48,0,2,5,4.00,5.26,3.33,4.08,40.00,5,33.33,13.79,1.01,22.66,27.13
2604260429,Sunday,Post-NA,62.32,3.26,11.77,31.88,2,9,3,3.81,48.00,4.44,3.03,31.25,16,66.67,31.82,2.17,32.35,90.55
2604260618,Sunday,NA-Asia,65.58,-3.96,6.25,10.36,0,2,0,5.20,28.57,5.26,2.86,20.00,5,40.00,17.65,3.17,21.25,27.75
2604270750,Monday,NA-Asia,61.62,-0.16,1.21,3.64,0,1,2,3.00,0.00,2.94,0.00,0.00,1,40.00,5.26,0.00,22.89,26.65
2604271001,Monday,Pre-Asia,61.46,-4.83,3.64,5.18,0,1,3,5.25,18.18,0.00,0.00,25.00,4,60.00,10.71,1.22,25.45,17.01
2604280742,Tuesday,NA-Asia,56.63,-0.02,5.38,16.11,1,2,1,4.00,21.43,4.08,0.00,40.00,5,40.00,16.67,2.67,19.36,71.69
2604300458,Thursday,Post-NA,56.61,1.99,3.49,14.64,0,3,0,2.33,18.18,0.00,2.70,66.67,3,60.00,8.00,1.64,29.07,58.67
2604301404,Thursday,Post-Asia,58.60,2.74,6.67,16.59,0,4,0,3.71,9.09,6.12,5.88,28.57,7,100.00,31.58,1.16,18.09,77.29
2605010624,Friday,NA-Asia,61.34,0.52,11.24,32.07,1,5,1,3.60,36.36,9.52,5.56,10.00,10,40.00,38.09,2.94,23.60,85.71
2605011134,Friday,Pre-Asia,61.86,-1.46,12.04,21.22,0,4,1,4.62,50.00,4.35,4.54,15.38,13,33.33,35.29,1.35,31.48,56.52
2605021006,Saturday,Pre-Asia,60.41,0.79,7.69,14.62,0,3,3,4.50,19.05,9.09,1.85,20.00,10,66.67,23.08,1.10,30.00,55.86
2605021226,Saturday,Pre-Asia,61.19,-1.61,4.49,12.14,0,2,2,3.75,21.43,2.44,0.00,25.00,4,50.00,11.11,1.61,30.34,15.46
2605061544,Thursday,Asia-EU,59.58,0.86,12.09,28.69,1,5,0,3.91,26.67,10.26,8.11,54.55,11,33.33,39.13,2.94,25.27,91.93
2605071401,Thursday,Post-Asia,60.44,-0.15,10.26,29.48,1,5,1,3.67,26.09,7.84,4.65,41.67,12,16.67,27.03,2.50,31.62,77.64
2605091352,Saturday,Post-Asia,60.29,1.99,7.96,21.36,1,4,1,3.78,28.57,7.84,2.08,44.44,9,50.00,25.93,2.33,23.89,70.61
2605111757,Tuesday,Pre-EU,62.28,-1.22,8.76,16.12,0,4,1,4.83,17.86,9.84,2.08,16.67,12,16.67,36.00,2.68,18.25,40.48
2605120931,Tuesday,Pre-Asia,61.06,-1.07,6.74,14.11,0,1,2,4.17,21.43,7.50,0.00,16.67,6,50.00,27.78,1.41,20.23,13.00
2605131342,Wednesday,Post-Asia,59.99,1.71,12.84,27.96,1,6,0,4.07,33.33,7.84,10.00,42.86,14,66.67,23.08,9.64,23.85,86.23
2605141424,Thursday,Post-Asia,61.70,-0.81,11.93,17.90,0,1,3,5.08,23.08,11.36,9.62,7.69,13,60.00,31.03,5.00,26.61,52.20
2605160712,Saturday,NA-Asia,60.89,0.35,13.46,23.26,0,5,0,4.86,25.00,13.16,8.70,28.57,14,40.00,42.86,2.63,26.92,71.99
2605171448,Sunday,Post-Asia,61.23,1.57,15.74,41.95,1,7,1,3.71,30.77,14.63,7.32,35.29,17,50.00,40.00,4.11,32.41,95.08
2605190414,Tuesday,Post-NA,62.80,0.51,10.99,27.40,0,6,0,3.90,26.32,5.56,8.33,20.00,10,33.33,27.27,5.80,24.18,53.02
2605190626,Tuesday,NA-Asia,63.31,-0.28,13.13,37.30,1,5,1,3.85,33.33,11.63,5.26,23.08,13,40.00,36.00,5.41,25.25,63.37
2605190912,Tuesday,Pre-Asia,63.02,-0.49,14.62,20.25,0,3,4,5.37,26.32,13.95,11.77,15.79,19,80.00,34.15,5.62,31.54,50.54
2605200404,Wednesday,Post-NA,62.54,-1.07,11.29,24.14,0,6,4,4.36,17.24,14.29,4.35,14.29,14,33.33,33.33,3.30,26.61,22.77
2605200542,Wednesday,NA-Asia,61.47,0.59,8.16,19.90,1,3,1,4.25,10.00,10.53,5.00,37.50,8,50.00,28.00,1.37,25.51,32.65
2605201047,Wednesday,Pre-Asia,62.06,0.37,3.41,9.74,0,1,2,3.33,13.33,2.70,0.00,33.33,3,50.00,20.00,0.00,17.05,24.13
2605201810,Thursday,Pre-EU,62.43,-1.28,13.79,24.89,0,5,3,4.50,21.88,12.73,10.35,10.00,20,50.00,48.65,1.85,25.52,48.58
2605211005,Thursday,Pre-Asia,61.16,0.83,16.18,28.09,1,4,2,4.82,21.43,17.50,13.23,22.73,22,50.00,47.37,4.08,27.94,88.63
2605211404,Thursday,Post-Asia,61.99,0.02,11.11,20.24,1,2,2,4.91,42.86,7.32,4.54,9.09,11,60.00,33.33,4.00,24.24,36.99
2605221158,Friday,Pre-Asia,62.01,-1.27,10.26,22.54,1,2,2,4.25,26.09,8.33,4.35,41.67,12,16.67,40.91,3.16,18.80,33.33
2605241211,Sunday,Pre-Asia,60.73,0.54,16.53,30.16,0,5,2,4.80,43.48,9.43,11.11,20.00,20,66.67,51.85,6.38,22.31,89.36
2605251416,Monday,Post-Asia,61.28,-1.31,8.08,17.71,0,4,2,4.38,16.67,7.32,5.00,25.00,8,40.00,26.09,2.63,23.23,11.04
2605261351,Tuesday,Post-Asia,59.96,1.11,13.04,18.85,0,3,0,4.87,11.77,12.50,14.00,13.33,15,100.00,53.85,1.12,22.61,63.78
2605261843,Wednesday,Pre-EU,61.08,-0.91,10.61,14.19,1,2,1,5.29,5.00,17.65,6.56,21.43,14,66.67,31.43,3.09,26.52,31.68
2605281811,Friday,Pre-EU,60.17,0.69,17.91,41.89,3,8,4,4.50,42.10,16.67,10.91,25.00,24,50.00,55.88,5.00,25.37,89.50
2605291802,Saturday,Pre-EU,60.86,-1.71,10.40,18.71,0,3,0,4.62,28.57,7.14,6.45,15.38,13,0.00,38.71,1.06,24.80,8.21
2605310415,Sunday,Post-NA,59.15,1.08,11.21,26.95,0,6,0,3.54,6.67,11.63,12.07,38.46,13,50.00,36.36,1.21,28.45,52.24
2606010210,Monday,Pre-NA,60.23,-0.56,11.72,20.56,0,3,2,4.80,28.00,6.82,8.47,13.33,15,40.00,40.62,2.08,25.00,23.65
2606021427,Tuesday,Post-Asia,59.67,0.93,10.53,20.06,0,5,0,4.33,15.38,7.32,10.64,16.67,12,66.67,45.83,1.11,21.05,45.12
2606021745,Wednesday,Pre-EU,60.60,0.23,10.87,22.10,0,3,0,4.30,25.00,12.20,0.00,20.00,10,40.00,47.37,1.37,20.65,40.81
2606031001,Wednesday,Pre-Asia,60.82,-0.09,20.97,30.20,0,5,4,5.08,42.31,23.21,4.76,11.54,26,50.00,58.82,6.67,27.42,73.49
2606041759,Friday,Pre-EU,60.73,0.10,15.11,23.59,0,5,2,4.71,25.93,11.47,13.72,19.05,21,33.33,47.22,3.88,25.90,63.69
2606060823,Saturday,NA-Asia,60.83,0.75,12.36,27.00,0,5,1,4.18,13.33,16.67,7.89,27.27,11,80.00,52.94,2.78,19.10,68.85
2606071750,Monday,Pre-EU,61.59,1.37,20.19,33.85,0,5,0,4.71,24.00,18.75,19.36,19.05,21,33.33,61.29,2.74,29.81,81.12
2606182317,Friday,EU-NA,62.96,-0.83,13.71,24.73,0,4,1,4.59,17.24,14.58,10.64,23.53,17,33.33,55.00,5.77,16.13,51.05
2606221519,Tuesday,Post-Asia,62.13,1.09,21.70,34.10,0,6,0,4.91,50.00,14.63,19.61,13.04,23,40.00,59.26,8.86,25.47,85.49
2606251513,Friday,Post-Asia,63.22,-1.48,16.22,22.15,0,5,2,5.17,22.22,10.17,19.36,8.33,24,70.00,50.00,2.83,28.38,30.00
2606251822,Friday,Pre-EU,61.74,0.98,17.42,31.72,1,6,1,4.78,50.00,11.11,8.89,17.39,23,66.67,41.46,6.59,31.06,78.98
2606291814,Tuesday,Pre-EU,62.72,2.13,23.08,63.40,2,10,0,3.72,21.43,27.03,18.52,44.44,18,60.00,68.18,5.36,28.20,93.57
2607070402,Tuesday,Post-NA,64.86,-0.56,16.30,23.80,0,4,0,4.73,31.58,11.43,13.16,20.00,15,0.00,46.43,3.12,30.43,12.14
2607170811,Friday,NA-Asia,64.30,0.00,13.51,23.34,0,6,0,4.87,21.43,8.33,16.33,40.00,15,83.33,66.67,3.23,16.22,29.12
2607170812,Friday,NA-Asia,64.30,0.31,13.51,23.34,0,6,0,4.87,21.43,8.33,16.33,40.00,15,83.33,66.67,3.23,16.22,34.55
2607181144,Saturday,Pre-Asia,64.61,-0.34,13.68,33.39,1,6,2,4.15,22.22,9.68,13.04,30.77,13,33.33,50.00,2.74,23.16,24.12
2607220806,Wednesday,NA-Asia,64.27,1.13,21.01,47.90,2,13,0,4.10,29.03,23.64,13.46,31.03,29,50.00,68.57,4.85,25.36,89.43
2608171710,Tuesday,Asia-EU,65.40,-1.77,15.54,16.97,0,2,1,5.61,21.21,11.77,15.62,4.35,23,0.00,57.14,5.83,18.92,26.03
2608172110,Tuesday,Post-EU,63.63,0.86,17.70,42.95,1,9,1,4.15,28.57,16.98,15.22,35.00,20,60.00,65.22,5.56,20.35,86.80
