Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,88.81,0.00,19.82,68.31,4,12,0,3.46,8.70,17.39,28.57,36.36,22,66.67,83.33,7.53,16.22,50.00
2601031613,Sunday,Asia-EU,88.81,0.00,27.87,80.92,2,16,1,4.18,13.04,20.75,43.48,29.41,34,40.00,90.91,14.00,18.03,72.77
2601041654,Monday,Asia-EU,88.81,0.00,30.00,92.82,2,11,0,4.21,14.29,40.00,25.81,45.83,24,60.00,100.00,17.65,15.00,79.55
2601050457,Monday,Post-NA,88.81,0.00,28.16,77.41,0,14,1,3.72,15.79,30.23,31.71,24.14,29,60.00,89.47,14.29,18.45,51.45
2601051601,Tuesday,Asia-EU,88.81,0.00,33.59,91.51,3,17,3,4.34,14.29,33.33,41.51,29.55,44,80.00,89.29,18.45,21.37,71.24
2601061215,Tuesday,Pre-Asia,88.81,0.00,30.77,86.87,4,15,1,4.08,14.81,25.00,44.00,36.11,36,83.33,95.00,17.53,17.09,83.96
2601071142,Wednesday,Pre-Asia,88.81,0.00,27.27,81.52,3,15,1,4.00,25.00,27.03,28.57,40.00,30,83.33,92.31,7.14,23.64,42.54
2601091539,Saturday,Asia-EU,88.81,0.00,29.85,75.66,0,14,1,4.30,22.22,34.00,29.82,25.00,40,75.00,96.15,13.89,19.40,54.99
2601101213,Saturday,Pre-Asia,88.81,0.00,36.75,111.16,3,20,1,4.23,38.09,24.53,51.16,41.86,43,66.67,94.12,27.00,14.53,80.20
2601120716,Monday,NA-Asia,88.84,-0.00,33.59,102.32,7,18,1,4.07,11.54,37.50,40.35,36.36,44,60.00,100.00,20.18,16.79,81.34
2601121920,Tuesday,Pre-EU,88.81,0.00,28.74,106.76,2,16,0,3.48,23.08,30.30,29.27,48.00,25,80.00,100.00,7.46,22.99,52.93
2601141040,Wednesday,Pre-Asia,88.81,0.00,23.13,58.01,1,11,0,4.58,10.00,19.23,34.62,32.26,31,50.00,81.25,15.25,11.94,15.16
2601151015,Thursday,Pre-Asia,88.81,0.00,22.47,75.91,5,16,4,4.15,18.75,20.51,26.47,32.50,40,41.67,92.59,9.93,15.17,24.24
2601161232,Friday,Post-Asia,88.81,0.00,26.32,82.41,5,17,2,4.31,23.33,22.64,32.00,37.14,35,83.33,100.00,12.50,15.79,36.72
2601171848,Sunday,Pre-EU,88.81,0.00,30.27,111.00,3,18,0,3.67,21.74,36.84,29.17,51.52,33,80.00,95.45,13.79,20.18,64.26
2601180253,Sunday,Post-NA,88.81,0.00,28.18,95.06,5,15,1,3.68,33.33,17.31,39.13,41.94,31,66.67,95.24,12.36,19.09,51.13
2601191138,Monday,Pre-Asia,88.81,0.00,37.50,82.94,2,18,1,4.59,33.33,28.57,46.27,20.37,54,33.33,96.67,21.93,20.83,56.90
2601211541,Thursday,Asia-EU,88.81,0.00,27.56,76.98,4,12,3,4.34,26.32,19.51,32.84,25.71,35,30.00,92.00,11.77,19.68,17.42
2601221125,Thursday,Pre-Asia,88.81,0.00,30.61,93.79,3,16,1,4.16,13.64,32.81,34.43,26.67,45,58.33,100.00,16.39,17.01,73.96
2601231253,Friday,Post-Asia,88.81,0.00,25.17,55.68,1,12,1,4.68,16.67,21.57,33.33,18.92,37,16.67,90.91,13.60,14.97,24.06
2601241546,Sunday,Asia-EU,88.81,0.00,36.48,88.53,2,17,2,4.59,34.48,28.81,43.66,24.14,58,60.00,94.87,17.50,24.53,75.37
2601261410,Monday,Post-Asia,88.81,0.00,23.77,67.67,2,12,0,4.34,19.05,17.78,30.36,37.93,29,0.00,94.12,12.38,13.93,22.92
2601262254,Tuesday,EU-NA,88.81,0.00,33.33,81.51,1,13,0,4.18,26.92,22.45,51.28,18.42,38,40.00,92.31,15.91,22.81,46.96
2601281906,Thursday,Pre-EU,88.81,0.00,27.17,85.41,4,10,0,4.00,17.65,31.71,26.47,40.00,25,40.00,77.78,14.87,19.57,39.20
2601291924,Friday,Pre-EU,88.81,0.00,31.48,92.04,2,15,0,3.71,23.81,27.78,37.26,26.47,34,20.00,100.00,19.57,14.81,67.11
2601302229,Saturday,Post-EU,88.81,0.00,31.45,78.85,2,19,2,4.58,15.38,32.43,37.29,28.00,50,33.33,88.23,16.00,21.38,47.73
2602010552,Sunday,NA-Asia,88.81,0.00,32.23,90.17,3,16,0,3.82,25.00,22.64,45.83,38.46,39,41.67,100.00,17.17,18.18,82.45
2602010745,Sunday,NA-Asia,88.81,24.40,25.23,72.51,3,12,0,3.75,9.52,18.75,40.48,42.86,28,40.00,94.12,12.77,15.31,43.84
2602011658,Monday,Asia-EU,113.20,-24.40,33.64,81.09,1,12,1,4.73,37.50,21.43,42.31,16.22,37,20.00,100.00,20.65,16.36,57.39
2602022101,Tuesday,Post-EU,88.81,20.50,24.75,52.98,0,7,2,4.88,13.33,15.38,36.17,20.00,25,40.00,100.00,17.39,8.91,46.66
2602031022,Tuesday,Pre-Asia,109.31,-2.10,25.97,76.71,4,13,2,4.35,17.24,25.76,30.51,27.50,40,25.00,90.48,15.79,13.64,16.75
2602040729,Wednesday,NA-Asia,107.18,3.00,33.03,156.89,8,21,2,3.03,44.44,24.49,36.36,50.00,36,50.00,93.33,10.13,27.52,77.89
2602042002,Thursday,Post-EU,110.16,-3.00,38.60,128.13,3,20,1,4.02,36.00,28.26,51.16,31.82,44,80.00,96.43,19.77,24.56,71.27
2602050049,Thursday,Pre-NA,107.18,5.60,36.21,118.83,7,17,2,4.48,28.57,20.75,59.52,30.95,42,0.00,96.15,18.89,22.41,84.08
2602051836,Friday,Pre-EU,112.74,1.20,28.79,71.66,0,10,2,4.63,19.23,23.64,39.22,23.68,38,100.00,100.00,17.54,13.64,31.39
2602061239,Friday,Post-Asia,113.92,-0.30,30.87,92.73,3,18,0,4.26,20.00,31.34,36.54,23.91,46,50.00,92.31,17.89,17.45,38.80
2602071500,Sunday,Post-Asia,113.61,-1.20,24.53,65.71,2,8,2,4.62,30.77,16.67,28.95,23.08,26,60.00,84.61,16.13,12.26,8.67
2602090816,Monday,NA-Asia,112.42,0.40,33.04,116.22,3,18,0,3.57,29.17,22.50,43.75,37.84,37,33.33,100.00,21.88,14.29,84.39
2602091602,Tuesday,Asia-EU,112.78,-1.10,27.62,66.96,1,9,0,4.59,46.67,10.53,34.62,20.69,29,20.00,88.23,15.91,16.19,5.77
2602102142,Wednesday,Post-EU,111.66,1.30,31.00,80.45,2,9,0,4.48,53.85,21.62,32.00,35.48,31,33.33,93.75,19.05,16.00,55.33
2602111620,Thursday,Asia-EU,112.97,1.00,33.02,115.94,3,17,0,3.74,30.43,20.51,45.45,31.43,35,60.00,100.00,21.11,15.09,82.29
2602121847,Friday,Pre-EU,113.96,-2.30,29.27,94.82,1,17,0,3.83,13.04,29.31,38.09,36.11,36,50.00,95.65,14.00,18.70,31.02
2602131029,Friday,Pre-Asia,111.66,-0.30,31.88,96.08,6,18,2,4.49,51.85,18.18,37.31,21.57,51,66.67,100.00,18.66,16.25,66.13
2602142238,Sunday,EU-NA,111.39,-3.00,27.19,77.70,2,11,0,4.61,21.74,19.57,37.78,29.03,31,60.00,89.47,14.74,16.67,15.33
2602151018,Sunday,Pre-Asia,108.42,0.30,21.67,80.92,4,13,0,3.77,17.39,13.46,33.33,30.77,26,16.67,100.00,13.76,9.17,40.86
2602151248,Sunday,Post-Asia,108.68,796.30,32.86,99.24,2,21,1,4.13,36.00,35.09,29.31,41.30,46,41.67,100.00,21.01,15.00,88.45
2602171440,Tuesday,Post-Asia,90.50,0.35,28.23,72.86,2,13,1,3.97,17.39,21.43,42.22,34.29,35,33.33,95.65,12.87,18.55,17.41
2602180911,Wednesday,Pre-Asia,90.85,-0.93,31.97,71.95,1,17,0,4.10,26.67,25.42,41.67,23.08,39,50.00,90.00,20.59,16.39,42.30
2602181122,Wednesday,Pre-Asia,89.92,2.13,33.85,88.69,3,19,0,4.14,27.78,26.41,42.37,40.91,44,50.00,90.62,15.31,24.61,50.92
2602190855,Thursday,Pre-Asia,92.05,1.01,28.57,83.13,5,15,0,3.97,25.00,26.41,33.33,33.33,36,50.00,90.00,16.98,15.87,26.88
2602200956,Friday,Pre-Asia,93.06,-1.29,27.42,60.33,2,9,3,4.50,10.00,18.52,44.00,23.53,34,40.00,86.67,19.27,12.10,14.81
2602201901,Saturday,Pre-EU,91.77,0.35,26.47,79.68,4,14,0,3.67,11.11,20.93,39.02,44.44,27,50.00,100.00,12.79,15.69,31.28
2602211142,Saturday,Pre-Asia,92.11,0.08,32.14,76.83,4,17,1,4.44,16.67,27.12,43.86,35.56,45,66.67,96.00,18.26,17.86,59.59
