Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,153.39,0.00,51.65,147.29,4,18,0,4.00,71.43,62.50,31.58,25.53,47,60.00,88.23,43.24,18.68,50.00
2601121404,Monday,Post-Asia,153.39,0.00,57.45,231.71,8,34,0,3.07,88.89,53.33,45.16,53.70,54,20.00,92.86,51.25,14.89,79.81
2601141040,Wednesday,Pre-Asia,153.39,0.00,58.78,171.11,7,27,0,4.10,85.19,64.00,40.74,29.87,77,60.00,80.77,53.33,19.85,54.70
2601201411,Tuesday,Post-Asia,153.39,0.00,60.17,170.83,7,23,0,4.22,76.92,58.33,52.27,33.80,71,0.00,80.95,55.67,17.80,50.52
2601211541,Thursday,Asia-EU,153.39,0.00,59.29,230.75,11,36,0,3.37,81.82,61.36,46.81,44.78,67,40.00,82.14,51.77,24.78,74.66
2601241546,Sunday,Asia-EU,153.39,0.00,64.35,228.38,6,34,0,3.60,81.48,66.67,48.65,40.54,74,60.00,93.33,54.12,26.09,83.23
2601261410,Monday,Post-Asia,153.39,0.00,50.38,164.09,4,33,0,3.66,77.78,52.83,40.32,37.31,67,91.67,80.95,44.64,15.79,23.91
2601281906,Thursday,Pre-EU,153.39,0.00,72.00,238.15,8,35,0,3.71,85.71,73.47,60.00,37.50,72,60.00,90.48,67.09,21.00,83.15
2601291924,Friday,Pre-EU,153.39,0.00,67.74,222.20,8,44,0,3.52,91.67,65.85,59.32,45.24,84,40.00,87.50,63.00,19.36,78.72
2601301234,Friday,Post-Asia,153.39,0.00,56.49,181.30,4,40,0,3.40,71.88,55.17,46.34,52.70,74,50.00,88.23,51.75,12.98,36.23
2601301437,Friday,Post-Asia,153.39,0.00,55.47,181.50,6,33,1,3.95,79.31,66.07,30.77,40.79,76,41.67,86.36,49.56,16.06,24.58
2601311606,Sunday,Asia-EU,153.39,3.20,57.97,182.22,10,36,0,3.71,80.95,64.91,43.33,48.75,80,33.33,85.71,50.91,20.29,44.36
2602011658,Monday,Asia-EU,156.59,1.10,58.97,201.87,7,29,0,3.97,84.21,71.05,43.33,31.88,69,60.00,67.86,56.18,23.93,56.40
2602031619,Wednesday,Asia-EU,157.69,-0.70,60.77,210.99,2,37,0,3.72,92.59,64.15,40.00,39.24,79,40.00,90.00,55.45,15.38,55.00
2602042002,Thursday,Post-EU,157.01,-0.00,67.50,221.34,7,33,0,3.98,95.00,67.31,56.25,33.33,81,60.00,68.18,67.35,18.33,63.85
2602050049,Thursday,Pre-NA,156.99,4.30,58.06,222.30,8,34,1,3.71,94.12,64.29,39.22,43.06,72,100.00,89.47,52.38,15.32,61.85
2602051836,Friday,Pre-EU,161.27,2.40,63.70,232.27,10,37,0,3.86,85.71,67.27,50.79,35.48,93,50.00,85.71,58.48,19.18,83.41
2602052043,Friday,Post-EU,163.66,1.00,65.71,248.55,9,37,0,3.61,90.91,61.54,56.82,49.28,69,66.67,88.46,58.23,24.76,78.64
2602061239,Friday,Post-Asia,164.65,-3.60,66.67,245.07,6,39,1,3.68,80.00,73.08,52.38,44.74,76,16.67,91.67,60.00,21.05,64.18
