Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,128.09,0.00,55.26,130.46,3,19,0,4.52,38.89,60.78,55.56,22.22,63,20.00,70.83,51.11,21.05,50.00
2601041654,Monday,Asia-EU,128.09,0.00,43.01,156.26,3,22,0,3.73,33.33,50.00,41.94,50.00,40,60.00,81.25,35.06,17.20,49.99
2601091539,Saturday,Asia-EU,128.09,0.00,34.31,114.07,3,16,0,3.74,17.24,47.22,35.13,48.57,35,33.33,85.00,21.95,19.61,30.03
2601121404,Monday,Post-Asia,128.09,0.00,39.58,142.59,6,20,1,3.53,25.00,53.85,32.43,47.37,38,60.00,79.17,26.39,25.00,46.97
2601170753,Saturday,NA-Asia,128.09,0.00,47.06,169.59,7,26,0,3.54,38.46,59.46,40.38,45.83,48,60.00,80.95,38.27,20.59,84.40
2601171848,Sunday,Pre-EU,128.09,0.00,44.55,126.09,3,17,0,4.18,39.29,45.71,46.81,30.61,49,80.00,89.47,35.16,17.27,55.84
2601211541,Thursday,Asia-EU,128.09,0.00,39.05,100.23,1,15,0,4.27,29.41,46.51,35.56,29.27,41,50.00,78.26,28.05,21.91,14.83
2601241546,Sunday,Asia-EU,128.09,0.00,39.60,128.75,6,23,0,3.85,37.50,60.71,23.19,22.03,59,40.00,78.05,25.00,27.52,23.86
2601301234,Friday,Post-Asia,128.09,0.00,46.46,123.92,4,23,0,3.93,31.82,50.00,48.84,28.81,59,50.00,92.00,35.29,19.68,61.44
2601301437,Friday,Post-Asia,128.09,1.70,39.62,142.95,4,19,0,3.62,32.00,48.72,35.71,40.48,42,50.00,79.17,28.05,22.64,48.85
2602011658,Monday,Asia-EU,129.80,3.20,52.07,147.16,2,25,0,4.40,45.45,54.55,52.27,33.33,63,80.00,80.64,42.22,25.62,79.82
2602042002,Thursday,Post-EU,133.04,-0.30,41.13,123.71,2,18,0,4.08,36.36,51.92,32.00,29.41,51,60.00,83.33,31.00,19.36,27.94
2602091602,Tuesday,Asia-EU,132.76,0.50,33.73,113.76,4,12,1,4.32,33.33,44.44,22.86,42.86,28,60.00,53.33,29.41,18.07,22.58
2602111620,Thursday,Asia-EU,133.31,-5.40,41.07,97.31,2,11,0,4.59,23.81,53.49,37.50,21.74,46,0.00,90.91,35.64,9.82,27.96
2602151248,Sunday,Post-Asia,127.92,967.00,47.41,165.78,5,26,0,3.76,31.82,55.10,46.67,34.55,55,66.67,100.00,37.11,16.38,96.50
2602180911,Wednesday,Pre-Asia,109.50,2.22,45.08,136.72,8,28,0,3.65,40.00,52.54,37.50,40.00,55,50.00,87.10,30.77,25.41,62.70
2602181122,Wednesday,Pre-Asia,111.71,3.94,53.17,150.88,7,28,0,4.03,42.31,53.45,59.52,32.84,67,83.33,76.92,47.00,20.64,65.12
2602261333,Thursday,Post-Asia,115.65,0.16,48.39,135.47,1,30,2,3.87,33.33,56.86,45.45,30.00,60,66.67,75.00,40.62,22.58,53.34
2602281316,Saturday,Post-Asia,115.81,2.10,42.86,142.27,12,25,0,3.63,50.00,40.74,42.22,50.98,51,50.00,84.61,31.18,21.85,42.49
2603081621,Monday,Asia-EU,117.91,0.28,38.05,101.18,2,17,1,4.07,33.33,41.30,36.54,34.88,43,60.00,80.77,25.29,23.01,12.82
2603181145,Wednesday,Pre-Asia,118.19,-5.23,38.04,94.52,1,17,0,3.86,52.63,42.50,24.24,25.71,35,0.00,62.50,32.90,17.39,3.34
2603290443,Sunday,Post-NA,112.97,1.61,41.13,147.22,5,34,0,3.10,42.10,48.00,34.55,60.78,51,16.67,69.56,34.65,18.55,40.40
2604041820,Sunday,Pre-EU,114.58,1.75,46.55,129.08,7,20,0,4.15,45.00,57.14,36.17,29.63,54,40.00,75.00,35.71,27.59,44.07
2604061117,Monday,Pre-Asia,116.33,2.01,44.38,88.36,2,23,0,4.65,34.48,49.30,43.59,25.32,79,66.67,75.68,36.17,20.79,32.88
