Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601170753,Saturday,NA-Asia,58.97,0.00,9.00,37.62,3,5,2,3.22,0.00,10.00,11.11,44.44,9,40.00,100.00,2.15,7.00,50.00
2601261410,Monday,Post-Asia,58.97,0.00,10.69,31.76,1,8,0,4.18,0.00,13.12,13.04,29.41,17,58.33,100.00,0.70,10.06,44.93
2601290543,Thursday,NA-Asia,58.97,0.00,12.31,34.26,3,6,2,4.19,13.79,14.81,8.51,25.00,16,50.00,92.86,2.59,10.77,55.65
2601301234,Friday,Post-Asia,58.97,0.00,13.16,27.83,0,6,1,4.40,6.67,10.42,22.22,20.00,15,50.00,92.86,2.00,12.28,44.35
2602010745,Sunday,NA-Asia,58.97,27.50,8.42,26.29,2,3,1,3.75,0.00,8.89,11.11,37.50,8,40.00,85.71,2.27,7.37,40.83
2602061239,Friday,Post-Asia,86.52,530.30,10.53,34.33,1,5,2,4.17,15.00,5.77,14.29,25.00,12,16.67,100.00,1.92,8.77,62.52
2602221011,Sunday,Pre-Asia,61.68,-2.60,11.81,33.15,1,8,0,3.80,9.09,15.52,8.51,53.33,15,0.00,92.86,1.77,11.02,44.70
2602241113,Tuesday,Pre-Asia,59.09,-1.30,10.48,24.00,0,5,2,4.31,3.23,16.28,10.00,30.77,13,33.33,100.00,4.31,6.45,34.01
2602241336,Tuesday,Post-Asia,57.79,3.20,12.63,57.01,4,10,2,2.83,15.38,8.82,14.58,75.00,12,66.67,90.91,2.38,11.58,56.25
2602260643,Thursday,NA-Asia,60.98,1.66,14.49,32.78,0,8,2,4.10,12.50,14.75,15.09,35.00,20,80.00,95.00,0.85,14.49,40.86
2602261333,Thursday,Post-Asia,62.64,0.39,11.29,20.22,1,3,3,5.14,11.11,15.69,7.27,21.43,14,66.67,91.67,2.68,9.68,28.94
2602280634,Saturday,NA-Asia,63.03,-1.14,8.80,25.55,1,5,0,3.54,9.09,9.09,8.33,18.18,11,16.67,88.89,2.59,7.20,15.92
2602281316,Saturday,Post-Asia,61.90,0.46,13.45,36.59,3,6,3,4.06,5.00,12.96,17.78,37.50,16,50.00,93.33,1.92,12.61,58.66
2603011142,Sunday,Pre-Asia,62.36,0.52,14.17,27.94,0,5,1,4.72,15.00,17.54,10.00,22.22,18,66.67,94.44,0.92,14.17,40.74
2603021604,Tuesday,Asia-EU,62.88,-0.68,16.78,31.62,2,7,5,5.04,3.33,18.75,21.54,16.67,24,16.67,100.00,6.30,11.19,53.25
2603050703,Thursday,NA-Asia,62.19,1.90,12.50,52.90,3,11,0,2.80,10.53,16.95,7.14,60.00,15,60.00,100.00,0.94,11.67,74.17
2603051345,Thursday,Post-Asia,64.09,-0.32,12.16,28.00,1,6,4,4.61,11.54,7.81,17.24,22.22,18,41.67,100.00,5.11,7.43,34.76
2603070501,Saturday,Post-NA,63.77,3.93,18.10,60.12,4,10,0,3.62,12.50,21.31,15.38,47.62,21,83.33,100.00,3.06,15.52,97.22
2603080629,Sunday,NA-Asia,67.69,-2.32,9.91,29.05,2,4,1,4.00,9.09,12.00,7.69,27.27,11,20.00,100.00,1.96,8.11,17.48
2603081621,Monday,Asia-EU,65.37,-0.82,13.04,20.14,1,3,5,5.47,7.69,11.63,15.25,13.33,15,60.00,100.00,3.85,9.56,37.64
2603090200,Monday,Pre-NA,64.55,2.78,9.09,28.88,3,4,3,3.80,12.50,11.63,5.88,40.00,10,33.33,100.00,0.99,8.18,39.90
2603090804,Monday,NA-Asia,67.33,-4.00,8.70,25.70,0,4,1,3.70,4.00,9.30,10.64,40.00,10,0.00,100.00,2.78,6.09,22.59
2603091606,Tuesday,Asia-EU,63.32,1.83,15.93,26.52,0,3,2,4.89,15.00,13.95,18.00,11.11,18,80.00,100.00,2.06,14.16,58.55
2603101304,Tuesday,Post-Asia,65.15,-3.73,5.61,13.31,1,2,2,4.33,5.56,4.44,6.82,33.33,6,0.00,83.33,0.99,5.61,9.05
2603120838,Thursday,Pre-Asia,61.42,2.24,14.54,35.82,1,6,1,4.31,8.70,18.37,13.16,31.25,16,33.33,100.00,2.08,12.73,74.25
2603131003,Friday,Pre-Asia,63.66,-3.18,12.84,37.65,1,7,2,3.71,0.00,17.31,11.63,28.57,14,60.00,100.00,2.06,11.01,52.15
2603140817,Saturday,NA-Asia,60.48,-1.07,9.17,17.09,0,3,1,4.90,0.00,12.96,7.69,30.00,10,20.00,100.00,1.00,8.26,17.67
