Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601061215,Tuesday,Pre-Asia,111.22,0.00,40.50,103.05,3,20,1,4.18,42.10,40.74,39.58,30.61,49,33.33,84.61,28.42,21.49,50.00
2601071142,Wednesday,Pre-Asia,111.22,0.00,44.44,123.12,4,21,0,3.96,52.78,40.91,40.54,28.85,52,50.00,79.31,32.95,24.79,69.99
2601082226,Friday,Post-EU,111.22,0.00,52.17,125.82,3,26,0,4.29,64.00,47.95,52.50,31.94,72,60.00,90.70,34.74,31.16,84.01
2601082232,Friday,EU-NA,111.22,0.00,52.17,125.82,3,26,0,4.29,64.00,47.95,52.50,31.94,72,60.00,90.70,34.74,31.16,83.45
2601121404,Monday,Post-Asia,111.22,0.00,41.30,110.35,2,14,0,4.18,39.13,32.00,47.73,28.95,38,60.00,93.33,31.17,16.30,30.15
2601121920,Tuesday,Pre-EU,111.22,0.00,38.71,86.89,1,12,0,4.42,50.00,43.59,30.00,19.44,36,40.00,93.33,28.20,16.13,23.45
2601141040,Wednesday,Pre-Asia,111.22,0.00,44.86,118.23,2,17,0,4.23,60.00,38.09,44.44,31.25,48,60.00,86.96,33.33,21.50,60.72
2601170753,Saturday,NA-Asia,111.22,0.00,40.54,129.92,4,22,0,3.71,38.46,39.22,42.55,35.56,45,70.00,82.35,22.08,30.63,42.02
2601211018,Wednesday,Pre-Asia,111.22,0.00,45.16,104.45,3,20,1,4.37,56.52,44.07,42.47,22.86,70,75.00,81.39,31.25,27.74,47.09
2601281906,Thursday,Pre-EU,111.22,18.10,43.10,105.64,1,19,0,4.20,40.00,40.43,47.73,28.00,50,60.00,92.59,28.09,23.28,44.58
2602011658,Monday,Asia-EU,129.33,-0.50,45.19,127.46,1,17,0,4.15,58.82,46.34,39.13,19.15,47,60.00,91.67,31.25,23.08,52.65
2602071500,Sunday,Post-Asia,128.81,-3.50,52.78,109.53,1,13,0,4.98,71.43,50.00,46.51,19.30,57,20.00,89.29,40.00,25.93,43.96
2602081856,Monday,Pre-EU,125.35,-0.40,52.08,151.26,1,23,0,4.04,60.00,52.50,47.22,34.00,50,60.00,86.36,41.89,22.92,60.77
2602131029,Friday,Pre-Asia,124.93,938.40,38.12,101.39,4,19,0,4.61,51.85,31.82,38.81,21.31,61,66.67,91.67,22.58,22.50,46.53
2602180911,Wednesday,Pre-Asia,106.33,3.18,46.83,123.70,6,27,0,3.93,55.17,42.50,45.61,44.07,59,66.67,88.00,36.63,19.84,69.38
2602200956,Friday,Pre-Asia,109.51,-0.04,48.46,105.95,1,21,0,4.44,46.15,54.90,43.40,26.98,63,30.00,80.64,38.38,23.85,38.53
2602201055,Friday,Pre-Asia,109.47,2.83,48.41,114.45,5,20,0,4.21,59.09,46.30,46.00,26.23,61,75.00,82.50,32.56,31.75,43.26
2602211142,Saturday,Pre-Asia,112.30,1.59,47.14,123.27,5,26,0,4.14,50.00,50.85,42.10,31.82,66,66.67,92.86,27.55,30.00,59.03
2602211352,Saturday,Post-Asia,113.89,-0.85,50.69,103.22,2,19,0,4.55,60.00,57.38,40.00,27.03,74,33.33,90.70,33.98,29.45,48.68
2602240917,Tuesday,Pre-Asia,113.04,0.31,44.67,121.11,2,31,0,3.88,50.00,45.95,38.64,32.84,67,50.00,87.88,32.48,22.00,34.05
