Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601161904,Saturday,Pre-EU,65.76,0.00,19.75,43.43,1,5,1,4.44,18.75,25.81,14.71,31.25,16,80.00,77.78,3.17,22.22,50.00
2601211018,Wednesday,Pre-Asia,65.76,0.00,18.31,54.80,5,8,1,4.08,21.05,20.00,15.52,30.77,26,41.67,81.48,3.48,19.01,61.01
2601212224,Thursday,Post-EU,65.76,0.00,18.18,27.11,0,3,2,5.19,15.79,20.45,16.00,12.50,16,60.00,82.35,2.82,19.32,31.68
2601241546,Sunday,Asia-EU,65.76,0.00,16.00,39.81,1,5,1,4.44,15.79,19.23,10.35,12.50,16,40.00,93.75,1.19,16.00,29.85
2601281906,Thursday,Pre-EU,65.76,0.00,12.90,18.31,0,1,0,5.08,24.00,9.09,8.57,8.33,12,40.00,91.67,1.24,12.90,25.00
2601291924,Friday,Pre-EU,65.76,0.00,20.45,37.84,1,6,2,4.93,7.14,26.00,22.22,18.52,27,60.00,86.67,0.98,22.73,62.71
2601301437,Friday,Post-Asia,65.76,0.00,12.80,24.04,0,4,2,4.95,15.00,17.74,6.45,4.76,21,58.33,70.37,1.46,16.46,22.92
2601301922,Saturday,Pre-EU,65.76,23.30,20.54,45.41,0,8,0,4.26,25.00,17.39,21.05,26.09,23,50.00,75.00,5.68,21.43,79.26
2602011658,Monday,Asia-EU,89.02,-0.20,11.90,28.74,1,2,2,4.53,22.22,8.77,9.52,26.67,15,60.00,91.67,3.51,9.52,34.19
2602091602,Tuesday,Asia-EU,88.80,1.40,17.29,46.09,2,6,0,4.39,20.69,16.39,16.28,17.39,23,70.00,87.50,1.83,18.05,55.58
2602111620,Thursday,Asia-EU,90.19,0.80,24.58,66.43,0,10,2,4.28,30.43,24.44,22.00,24.14,29,50.00,93.10,2.25,24.58,60.83
2602121847,Friday,Pre-EU,91.01,-0.00,24.78,56.04,0,8,0,4.71,16.67,19.61,34.09,21.43,28,66.67,85.19,5.81,23.89,69.22
2602142238,Sunday,EU-NA,91.00,-3.30,20.17,44.58,1,3,2,4.83,14.29,33.33,10.00,12.50,24,40.00,74.19,1.14,26.05,41.35
2602151911,Monday,Pre-EU,87.72,638.00,18.87,53.05,3,8,0,4.85,21.74,17.50,18.61,35.00,20,66.67,90.00,2.33,18.87,77.62
2602171440,Tuesday,Post-Asia,72.57,0.58,17.27,41.91,2,6,1,4.21,28.57,9.26,21.43,21.05,19,33.33,84.21,3.30,17.27,28.92
2602201055,Friday,Pre-Asia,73.15,0.72,20.64,39.15,0,8,0,4.62,36.36,18.52,16.00,19.23,26,75.00,84.61,4.00,20.64,50.00
2602242102,Wednesday,Post-EU,73.87,-0.83,18.49,23.57,0,3,3,5.32,15.15,21.74,17.50,13.64,22,33.33,86.36,3.09,18.49,19.34
2602251607,Thursday,Asia-EU,73.04,-1.45,16.93,15.85,0,1,2,5.91,14.29,13.72,22.22,4.76,21,40.00,85.71,2.91,16.93,13.25
2602271905,Saturday,Pre-EU,71.59,2.03,18.35,40.13,2,6,0,4.30,15.79,21.28,16.28,30.00,20,66.67,72.73,4.60,20.18,32.58
