Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,86.92,0.00,36.07,90.79,3,15,0,4.23,40.74,46.94,21.74,29.55,44,50.00,93.75,15.56,26.23,50.00
2601031613,Sunday,Asia-EU,86.92,0.00,30.70,57.34,0,9,0,4.97,47.62,29.17,24.44,25.71,35,20.00,82.61,17.58,20.18,25.37
2601052355,Tuesday,EU-NA,86.92,0.00,20.62,70.02,3,11,0,3.15,36.36,25.00,0.00,55.00,20,66.67,57.90,11.54,19.59,27.11
2601082226,Friday,Post-EU,86.92,0.00,35.13,61.44,0,11,2,5.13,66.67,35.90,11.90,20.51,39,50.00,92.00,18.61,22.52,61.38
2601082232,Friday,EU-NA,86.92,0.00,35.13,61.44,0,11,2,5.13,66.67,35.90,11.90,20.51,39,50.00,92.00,18.61,22.52,61.34
2601090238,Friday,Post-NA,86.92,0.00,29.90,113.79,5,19,0,3.07,37.50,35.90,21.43,55.17,29,50.00,88.46,8.45,26.80,56.54
2601142226,Thursday,Post-EU,86.92,0.00,16.33,33.41,0,4,0,4.50,30.00,15.22,9.38,12.50,16,40.00,53.85,10.59,13.27,14.06
2601160213,Friday,Pre-NA,86.92,0.00,24.22,63.10,3,11,0,4.36,30.77,29.41,18.75,29.03,31,50.00,90.00,4.08,23.44,34.41
2601180253,Sunday,Post-NA,86.92,0.00,31.43,86.42,2,16,1,4.09,33.33,37.84,25.53,45.45,33,66.67,85.19,12.82,25.71,73.94
2601212224,Thursday,Post-EU,86.92,-20.00,29.41,56.85,1,7,1,4.83,33.33,36.36,16.13,20.00,30,20.00,80.95,16.05,20.59,30.32
2601221125,Thursday,Pre-Asia,66.92,20.00,22.22,30.23,0,1,0,6.17,12.50,20.00,28.57,16.67,6,100.00,100.00,16.00,7.41,49.32
2601262254,Tuesday,EU-NA,86.92,726.50,22.11,33.86,0,5,0,5.57,38.09,20.00,15.79,13.04,23,60.00,72.73,8.54,21.15,29.52
2602201055,Friday,Pre-Asia,81.34,0.69,31.39,75.90,2,10,0,4.18,56.25,32.43,18.18,25.93,27,37.50,76.19,16.92,24.42,55.76
2604111104,Saturday,Pre-Asia,82.03,-1.12,19.15,58.28,4,7,2,4.28,25.00,29.73,7.32,38.89,18,60.00,68.42,6.67,20.21,16.23
2604150427,Wednesday,Post-NA,80.91,1.43,27.06,88.76,2,14,0,3.65,37.50,27.27,22.22,47.83,23,60.00,76.19,10.94,24.71,52.87
2604171040,Friday,Pre-Asia,82.34,4.13,32.04,135.22,8,21,1,2.94,33.33,38.18,20.00,60.61,33,66.67,92.00,12.82,24.27,76.82
2604181030,Saturday,Pre-Asia,86.47,-2.12,33.80,86.12,4,19,0,4.08,42.86,33.82,28.26,27.08,48,33.33,83.33,16.98,25.35,64.09
2604200945,Monday,Pre-Asia,84.35,2.53,26.96,80.12,5,15,0,3.71,29.17,29.55,23.40,38.71,31,33.33,80.00,12.22,21.74,41.58
2604220401,Wednesday,Post-NA,86.88,0.27,22.92,59.67,4,9,0,4.23,8.33,30.43,23.08,36.36,22,80.00,94.74,5.20,19.79,27.07
2604221205,Wednesday,Pre-Asia,87.15,-0.77,28.57,52.57,2,6,1,4.83,15.00,44.90,13.89,20.00,30,80.00,66.67,17.28,22.86,40.43
2604230845,Thursday,Pre-Asia,86.38,0.19,31.15,77.55,3,13,0,4.13,37.04,46.00,11.11,36.84,38,20.00,88.00,16.50,20.49,68.12
2604232130,Friday,Post-EU,86.57,2.22,29.41,66.97,1,8,0,4.12,38.46,37.84,17.14,20.00,25,40.00,83.33,14.93,21.18,57.87
2604250702,Saturday,NA-Asia,88.79,0.93,25.66,62.49,2,12,2,4.14,35.29,31.82,17.31,27.59,29,80.00,78.95,14.89,16.81,35.73
2604260618,Sunday,NA-Asia,89.72,1.15,21.84,79.01,5,12,0,3.16,38.46,27.78,10.53,52.63,19,40.00,76.19,4.54,24.14,33.85
2604270750,Monday,NA-Asia,90.87,1.07,25.88,84.34,3,12,0,3.36,25.00,30.00,20.00,45.45,22,100.00,81.25,13.04,18.82,54.46
2604280742,Tuesday,NA-Asia,91.94,0.22,34.52,119.35,5,19,0,3.28,66.67,34.21,27.03,41.38,29,80.00,90.00,17.19,23.81,77.09
2605010624,Friday,NA-Asia,92.16,-1.25,25.66,73.66,2,15,0,3.93,20.83,27.50,26.53,37.93,29,40.00,85.19,6.98,23.89,27.42
2605050720,Tuesday,NA-Asia,90.90,0.70,27.89,93.39,5,15,0,3.35,27.78,40.91,14.29,48.28,29,66.67,66.67,16.25,23.08,74.11
2605061606,Thursday,Asia-EU,91.61,1.84,32.28,121.12,9,25,0,3.22,43.48,33.96,25.49,56.10,41,16.67,87.50,13.68,25.20,89.28
2605080437,Friday,Post-NA,93.45,1.05,32.82,71.94,0,17,0,4.28,36.36,46.30,18.18,25.58,43,40.00,81.58,12.90,29.01,50.01
2605122156,Wednesday,Post-EU,94.50,-0.16,26.47,68.72,1,11,0,4.11,55.56,22.64,16.13,40.74,27,60.00,100.00,13.79,14.71,35.36
2605130452,Wednesday,Post-NA,94.33,0.32,32.79,75.27,3,14,3,4.33,42.86,31.58,27.03,32.50,40,40.00,86.49,9.41,30.33,40.71
2605140215,Thursday,Pre-NA,94.65,1.18,34.88,94.10,5,20,0,3.80,51.85,40.32,15.00,37.78,45,33.33,83.33,20.20,23.26,79.38
2605160712,Saturday,NA-Asia,95.84,0.14,33.67,76.25,3,9,0,4.33,40.91,41.67,22.50,24.24,33,60.00,74.19,14.93,31.63,42.89
2605162148,Sunday,Post-EU,95.98,1.55,36.00,91.10,1,14,1,4.03,61.54,34.29,30.77,33.33,36,60.00,87.50,19.74,24.00,83.89
2605182103,Tuesday,Post-EU,97.53,-2.13,26.12,67.04,3,14,1,4.11,20.83,33.33,20.00,34.29,35,50.00,81.82,7.92,24.63,12.65
2605190414,Tuesday,Post-NA,95.39,0.39,31.07,93.53,3,16,0,3.69,47.06,32.08,21.21,37.50,32,33.33,88.46,11.69,25.24,49.26
2605200404,Wednesday,Post-NA,95.78,-0.81,25.83,57.66,1,11,1,4.46,43.75,25.35,14.58,17.95,39,83.33,82.14,13.01,18.54,12.84
2605200542,Wednesday,NA-Asia,94.97,-1.59,30.77,86.61,3,14,0,3.46,40.00,33.33,24.39,46.43,28,66.67,75.00,14.93,26.37,50.17
2605201810,Thursday,Pre-EU,93.38,-0.39,23.19,64.49,4,16,1,4.06,13.64,25.37,24.49,34.38,32,50.00,84.61,8.93,18.84,19.86
2605230428,Saturday,Post-NA,93.00,0.56,25.73,63.33,2,12,1,4.34,27.27,32.14,18.97,31.43,35,50.00,79.41,7.84,25.00,26.90
2605232205,Sunday,Post-EU,93.55,-6.39,17.39,39.87,0,4,0,4.12,0.00,29.41,14.29,12.50,8,0.00,75.00,5.26,17.39,3.52
2605280737,Thursday,NA-Asia,87.16,0.87,35.90,95.55,6,16,1,4.29,35.71,38.30,33.93,28.57,42,80.00,89.66,18.18,24.79,92.74
2605291802,Saturday,Pre-EU,88.03,-2.62,24.49,40.14,1,5,0,4.92,44.44,25.64,14.63,12.50,24,40.00,68.42,13.92,19.39,15.04
2606040237,Thursday,Post-NA,85.41,-1.01,20.77,58.29,3,11,1,3.81,28.00,24.49,14.29,40.74,27,33.33,67.86,7.84,21.54,26.68
2606042132,Friday,Post-EU,84.40,-1.31,26.55,66.54,3,13,1,4.10,43.75,21.67,27.03,30.00,30,40.00,86.96,11.11,20.35,51.58
2606090610,Tuesday,NA-Asia,83.09,-0.91,27.54,53.40,0,11,1,4.58,36.67,26.92,23.21,21.05,38,20.00,85.19,13.51,19.57,62.62
2606252303,Friday,EU-NA,82.18,0.23,26.50,72.18,3,15,0,3.68,33.33,30.43,18.18,35.48,31,83.33,75.86,10.23,24.79,68.97
2607032107,Saturday,Post-EU,82.41,1.18,27.03,72.55,4,17,0,3.73,25.00,40.74,8.11,40.00,30,80.00,80.77,10.59,23.42,82.69
2607180638,Saturday,NA-Asia,83.59,0.00,24.39,50.82,1,2,0,4.60,44.44,25.00,12.50,10.00,10,50.00,85.71,11.77,17.07,52.80
2607292101,Thursday,Post-EU,83.59,-0.86,24.35,74.36,5,15,0,3.46,30.77,34.62,5.41,46.43,28,50.00,71.43,9.20,24.35,55.87
2607310436,Friday,Post-NA,82.73,-0.86,16.30,40.48,1,6,0,4.07,22.22,22.50,9.30,33.33,15,40.00,72.22,2.70,19.57,11.86
