Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601200331,Tuesday,Post-NA,75.00,15.00,38.81,90.82,1,16,0,4.42,43.33,40.00,34.09,23.08,52,33.33,79.41,25.00,25.37,50.00
2601262254,Tuesday,EU-NA,90.00,0.00,31.73,48.52,0,6,0,5.30,19.05,40.00,28.95,9.09,33,60.00,76.00,17.72,24.04,11.50
2601290543,Thursday,NA-Asia,90.00,0.00,37.10,101.76,2,18,0,3.80,30.43,40.98,35.00,36.96,46,50.00,81.08,18.39,29.84,59.71
2601301234,Friday,Post-Asia,90.00,-25.00,37.14,97.93,2,22,0,3.96,44.12,33.33,36.96,28.85,52,50.00,88.23,20.75,24.29,67.52
2601302229,Saturday,Post-EU,65.00,47.50,44.00,87.30,3,14,1,5.03,50.00,44.78,40.35,15.15,66,66.67,88.09,26.85,28.00,88.75
2602030746,Tuesday,NA-Asia,112.54,-3.80,40.66,124.88,1,17,1,3.97,69.56,30.00,32.14,51.35,37,0.00,82.61,26.47,25.27,57.04
2602031022,Tuesday,Pre-Asia,108.76,1.50,41.50,93.83,0,15,1,4.64,43.90,42.10,38.78,21.31,61,58.33,90.24,22.64,27.89,60.55
2602090816,Monday,NA-Asia,110.26,2.30,43.94,107.15,1,20,1,4.33,45.16,45.28,41.67,20.69,58,66.67,86.67,31.37,22.73,68.22
2602110645,Wednesday,NA-Asia,112.53,1.00,51.72,138.66,4,24,0,4.12,43.33,53.57,54.24,24.00,75,33.33,88.68,30.43,36.55,68.32
2602131029,Friday,Pre-Asia,113.53,3.40,36.13,113.62,4,22,0,4.14,42.31,37.31,32.26,28.57,56,83.33,85.71,21.67,22.58,44.83
2602151018,Sunday,Pre-Asia,116.88,897.00,43.12,93.20,0,17,0,4.71,58.06,47.14,30.51,15.94,69,83.33,81.63,26.13,30.62,62.51
2602201055,Friday,Pre-Asia,101.39,2.78,35.20,100.98,6,19,0,3.79,33.33,31.48,40.43,34.09,44,50.00,80.00,17.78,28.00,13.16
2602210222,Saturday,Pre-NA,104.17,-2.40,33.03,71.89,0,14,0,4.25,23.53,39.02,31.37,19.44,36,40.00,70.00,18.99,27.52,3.56
2603210954,Saturday,Pre-Asia,101.77,0.05,48.12,83.22,1,13,0,4.83,60.00,48.21,42.31,14.06,64,66.67,82.35,26.83,38.35,46.54
2603230724,Monday,NA-Asia,101.82,2.59,54.35,106.84,2,19,0,4.56,48.84,52.38,60.38,18.67,75,66.67,93.18,36.17,31.88,70.03
2604010803,Wednesday,NA-Asia,104.41,0.54,47.18,91.54,4,16,0,4.81,63.64,39.68,49.12,16.42,67,41.67,88.00,25.00,35.21,41.57
2604111104,Saturday,Pre-Asia,104.95,-1.18,33.33,83.01,2,9,0,4.04,53.33,22.22,33.33,28.00,25,40.00,80.00,21.67,20.00,9.88
2604250702,Saturday,NA-Asia,103.77,0.89,42.20,91.38,4,14,2,4.46,43.48,43.75,40.74,21.74,46,80.00,87.88,22.37,30.27,30.40
2605122156,Wednesday,Post-EU,104.66,-1.69,34.26,79.72,5,11,0,4.49,28.57,26.83,43.48,27.03,37,60.00,86.21,15.19,26.85,22.80
2605130452,Wednesday,Post-NA,102.98,0.53,47.06,120.60,4,25,1,4.07,54.55,41.18,50.00,32.14,56,60.00,96.97,27.91,27.73,74.13
2605200627,Wednesday,NA-Asia,103.50,3.00,49.10,119.06,5,25,0,4.51,57.58,48.28,46.05,21.95,82,91.67,90.91,34.15,26.35,93.01
2605211404,Thursday,Post-Asia,106.50,0.30,51.28,126.44,1,25,0,4.00,57.14,57.78,40.91,40.00,60,40.00,83.78,36.25,31.62,70.51
2605220714,Friday,NA-Asia,106.80,-7.85,40.00,106.22,3,19,0,4.04,57.69,30.36,41.51,33.33,54,16.67,84.85,25.49,24.44,26.43
2606010210,Monday,Pre-NA,98.95,0.92,48.65,106.08,3,24,1,4.42,66.67,42.65,49.15,23.61,72,80.00,85.42,31.00,32.43,78.94
2606281724,Monday,Asia-EU,99.88,-1.99,39.80,88.42,1,12,0,4.38,35.29,38.09,43.59,33.33,39,20.00,78.79,20.00,33.67,9.10
2606290521,Monday,Post-NA,97.89,1.42,48.70,105.47,3,26,0,4.17,43.33,47.95,52.94,26.67,75,66.67,87.50,31.13,31.17,87.77
2606301029,Tuesday,Pre-Asia,99.31,-0.50,37.50,57.64,0,9,0,4.88,44.00,37.84,34.85,16.67,48,60.00,93.55,19.59,24.22,27.81
2607040715,Saturday,NA-Asia,98.80,-0.78,43.57,87.96,3,15,1,4.66,39.29,48.28,40.74,24.59,61,33.33,82.50,28.00,28.57,34.41
2607070402,Tuesday,Post-NA,98.02,2.62,52.58,131.79,3,24,0,3.78,41.67,55.26,53.19,41.18,51,40.00,96.43,34.78,28.87,85.84
2607080548,Wednesday,NA-Asia,100.64,0.10,51.61,104.89,3,16,0,4.48,54.17,57.69,43.75,23.44,64,70.00,92.11,33.72,30.64,85.13
2607192357,Monday,EU-NA,100.74,0.82,51.58,122.95,2,23,0,3.86,77.78,46.51,44.12,26.53,49,60.00,80.00,38.46,31.58,75.27
2607210603,Tuesday,NA-Asia,101.56,-1.63,42.48,90.49,2,17,0,4.23,55.00,45.65,34.04,22.92,48,20.00,81.48,30.23,23.89,15.94
2607240459,Friday,Post-NA,99.93,0.45,47.33,95.72,3,21,0,4.42,57.69,48.33,40.00,30.65,62,40.00,89.74,29.35,29.77,58.80
