Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601211541,Thursday,Asia-EU,79.85,28.40,38.09,85.83,0,14,0,4.50,47.06,30.23,42.22,20.00,40,50.00,86.67,18.67,28.57,50.00
2602042002,Thursday,Post-EU,108.21,-4.40,29.84,72.02,1,8,0,4.51,36.36,28.85,28.00,21.62,37,60.00,88.00,15.15,20.16,21.89
2602111620,Thursday,Asia-EU,103.85,740.50,29.41,72.45,1,12,0,4.50,27.59,24.53,35.19,22.50,40,60.00,83.33,14.15,22.06,39.43
2603211606,Sunday,Asia-EU,84.44,2.28,36.54,85.62,2,14,0,4.24,29.03,32.43,47.22,26.32,38,40.00,85.19,19.48,25.96,60.25
2604232130,Friday,Post-EU,86.72,1.68,33.33,75.36,3,11,0,4.31,36.36,28.57,35.29,22.22,36,80.00,78.79,13.33,30.56,24.54
2604251753,Sunday,Pre-EU,88.40,-2.35,29.70,49.12,1,5,1,4.93,15.00,27.27,40.54,13.33,30,90.00,75.00,15.58,23.76,10.31
2604291755,Thursday,Pre-EU,86.05,7.31,26.92,66.25,1,11,0,3.93,22.22,28.57,27.27,32.14,28,66.67,59.26,15.58,25.96,15.86
2604301404,Thursday,Post-Asia,93.36,-0.41,26.32,65.02,1,12,0,4.00,17.65,28.57,27.78,40.00,25,40.00,72.73,12.33,23.16,10.04
2605021006,Saturday,Pre-Asia,92.94,-4.88,27.73,51.86,1,10,0,4.79,17.39,31.37,28.89,21.21,33,0.00,80.77,12.90,21.85,15.84
2605051833,Wednesday,Pre-EU,88.07,2.00,31.73,74.68,3,11,1,4.21,18.18,31.25,35.56,21.21,33,80.00,100.00,15.48,19.23,58.29
2605061544,Thursday,Asia-EU,90.07,3.56,40.91,100.36,2,25,0,3.64,28.57,43.75,46.00,48.89,45,66.67,82.86,21.33,31.82,74.80
2605071401,Thursday,Post-Asia,93.63,1.76,33.81,73.41,1,15,1,4.11,31.25,31.48,37.74,27.66,47,66.67,89.19,13.72,26.62,57.23
2605112129,Tuesday,Post-EU,95.40,-1.91,29.20,52.84,2,11,0,5.05,28.00,27.12,32.08,20.00,40,30.00,75.76,14.42,24.09,12.54
2605120931,Tuesday,Pre-Asia,93.48,-0.48,30.21,76.68,1,12,0,4.03,29.41,26.19,35.13,44.83,29,33.33,77.78,11.59,28.12,32.95
