Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,129.38,0.00,39.47,59.50,0,6,0,5.16,33.33,43.14,37.78,8.89,45,20.00,80.00,17.57,35.09,50.00
2601041654,Monday,Asia-EU,129.38,0.00,41.25,104.97,0,13,0,4.33,64.29,42.86,29.03,33.33,33,60.00,85.71,17.31,35.00,67.07
2601051601,Tuesday,Asia-EU,129.38,0.00,41.82,103.65,2,15,0,4.48,46.43,34.21,45.45,28.26,46,40.00,89.19,17.81,33.64,75.97
2601101213,Saturday,Pre-Asia,129.38,-2.80,47.10,127.26,3,25,0,4.20,51.72,40.74,50.91,24.62,65,33.33,83.64,22.89,39.85,62.80
2601120716,Monday,NA-Asia,126.61,2.80,40.59,110.71,3,18,0,4.15,30.00,36.36,46.81,36.59,41,40.00,80.00,19.70,34.65,64.14
2601141040,Wednesday,Pre-Asia,129.38,0.00,51.49,121.92,2,20,1,4.41,56.67,50.00,50.00,27.54,69,50.00,82.76,27.63,43.28,76.19
2601141713,Thursday,Asia-EU,129.38,0.00,43.97,150.68,3,31,0,3.69,50.00,34.04,51.16,52.94,51,33.33,84.78,17.14,39.66,59.02
2601142226,Thursday,Post-EU,129.38,0.00,39.29,121.37,3,15,0,3.94,55.56,23.81,54.17,39.39,33,60.00,84.61,18.97,30.95,48.69
2601150218,Thursday,Pre-NA,129.38,0.00,41.41,126.10,3,20,0,3.61,44.44,35.56,47.22,39.02,41,50.00,84.38,20.90,32.32,60.84
2601151819,Friday,Pre-EU,129.38,0.00,44.17,110.94,2,22,0,3.98,47.37,46.43,40.00,35.85,53,33.33,94.12,24.42,28.33,60.71
2601171848,Sunday,Pre-EU,129.38,0.00,43.64,120.44,2,17,0,4.19,42.86,40.00,46.81,31.25,48,80.00,92.11,18.06,34.55,52.98
2601191138,Monday,Pre-Asia,129.38,0.00,53.28,128.99,3,26,1,4.40,50.00,49.09,58.62,31.51,73,41.67,90.20,31.39,37.23,74.51
2601201411,Tuesday,Post-Asia,129.38,0.00,50.77,108.44,4,13,0,4.82,43.33,54.17,51.92,18.18,66,20.00,85.11,31.32,36.15,54.05
2601211018,Wednesday,Pre-Asia,129.38,-7.30,62.62,149.40,2,23,0,4.37,57.14,70.37,53.12,34.33,67,50.00,92.11,46.38,35.51,71.36
2602142238,Sunday,EU-NA,122.12,913.40,45.97,99.19,1,15,0,4.93,56.00,42.00,44.90,12.28,57,40.00,91.18,28.89,27.42,50.17
