Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601070522,Wednesday,Post-NA,82.73,0.00,30.99,87.74,2,22,1,3.73,36.67,30.36,28.57,34.09,44,41.67,80.95,10.00,29.58,50.00
2601121404,Monday,Post-Asia,82.73,0.00,15.62,41.16,1,7,0,4.27,15.00,12.82,18.92,26.67,15,60.00,61.91,2.67,21.88,20.13
2601150218,Thursday,Pre-NA,82.73,0.00,20.47,59.90,2,12,0,3.73,21.74,20.64,19.51,34.62,26,83.33,68.97,6.12,22.84,34.23
2601200331,Tuesday,Post-NA,82.73,0.00,29.68,71.18,1,14,0,4.41,48.28,18.46,32.79,28.26,46,50.00,80.00,9.09,29.03,74.91
2601210505,Wednesday,Post-NA,82.73,0.00,16.39,39.90,1,7,0,4.20,35.71,8.62,20.00,25.00,20,50.00,76.19,3.96,17.21,24.15
2601212224,Thursday,Post-EU,82.73,0.00,21.74,50.62,0,7,1,4.15,34.78,17.07,17.86,20.00,20,20.00,73.33,11.69,16.30,33.78
2601241546,Sunday,Asia-EU,82.73,0.00,16.78,44.61,1,7,1,4.32,33.33,19.64,8.70,28.00,25,40.00,69.23,5.69,17.45,17.15
2601260234,Monday,Post-NA,82.73,0.00,24.21,74.92,2,13,0,3.48,43.75,15.91,25.71,26.09,23,66.67,70.37,5.88,28.42,56.23
2601262254,Tuesday,EU-NA,82.73,0.00,23.96,79.06,1,13,0,3.65,33.33,22.50,21.05,43.48,23,40.00,85.71,6.67,21.88,65.01
2601290543,Thursday,NA-Asia,82.73,16.40,20.95,42.51,1,9,1,4.68,29.63,18.57,19.61,25.81,31,41.67,60.53,7.27,25.68,42.58
2602052043,Friday,Post-EU,99.13,-4.00,23.88,58.24,1,10,1,4.47,50.00,16.36,18.87,21.88,32,16.67,70.27,6.19,27.61,44.48
