Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,112.58,0.00,43.75,112.94,1,15,0,4.29,47.83,36.67,48.15,40.00,35,50.00,93.75,31.25,20.00,50.00
2601051601,Tuesday,Asia-EU,112.58,0.00,49.55,119.99,5,13,2,4.53,47.37,49.02,51.22,16.36,55,40.00,93.55,32.50,27.93,68.64
2601082226,Friday,Post-EU,112.58,0.00,42.34,83.24,2,14,0,5.08,50.00,41.03,38.09,23.40,47,50.00,95.65,28.41,20.72,32.97
2601082232,Friday,EU-NA,112.58,0.00,42.34,83.24,2,14,0,5.08,50.00,41.03,38.09,23.40,47,50.00,95.65,28.41,20.72,33.09
2601101213,Saturday,Pre-Asia,112.58,0.00,46.15,102.96,1,15,0,4.65,57.14,41.51,46.51,25.93,54,66.67,100.00,33.68,18.80,76.29
2601201411,Tuesday,Post-Asia,112.58,0.00,43.33,103.06,0,13,0,4.44,40.00,36.36,51.35,25.64,39,60.00,85.71,30.43,23.33,40.34
2601201913,Wednesday,Pre-EU,112.58,0.00,42.15,102.88,3,18,0,4.35,30.43,45.83,44.00,37.25,51,66.67,93.55,24.44,25.62,50.25
2601211541,Thursday,Asia-EU,112.58,0.00,32.74,78.43,1,12,0,4.32,31.82,31.82,34.04,21.62,37,40.00,78.95,23.40,16.81,14.32
2601212224,Thursday,Post-EU,112.58,0.00,46.59,142.75,2,21,0,3.85,57.90,36.36,56.00,39.02,41,60.00,91.30,30.77,26.14,73.12
2601290543,Thursday,NA-Asia,112.58,8.70,43.85,125.58,2,27,0,3.72,48.28,40.74,44.68,45.61,57,50.00,90.91,27.84,25.39,66.02
2602031619,Wednesday,Asia-EU,121.24,1.70,41.48,120.75,3,20,0,4.23,42.86,42.37,39.58,30.36,56,60.00,96.30,27.78,20.00,68.01
2602051836,Friday,Pre-EU,122.95,0.30,47.95,135.52,3,19,0,4.33,57.14,43.64,47.62,27.14,70,50.00,100.00,34.48,20.55,66.84
2602071500,Sunday,Post-Asia,123.22,1.30,45.00,137.51,4,20,2,4.26,44.83,48.89,41.30,35.19,54,40.00,92.59,31.18,22.50,74.77
2602081856,Monday,Pre-EU,124.49,2.10,45.05,134.40,3,21,0,3.90,57.90,45.28,38.46,26.00,50,60.00,88.46,31.77,23.42,74.04
