Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,172.73,0.00,69.67,208.81,5,40,0,3.94,52.17,67.92,80.44,30.59,85,40.00,98.00,50.00,40.98,50.00
2601051601,Tuesday,Asia-EU,172.73,-3.00,62.59,170.75,5,32,0,4.18,61.91,61.40,64.15,32.93,82,80.00,96.00,41.98,38.17,17.99
2601120716,Monday,NA-Asia,169.77,3.00,60.61,181.90,5,28,0,3.77,52.94,57.58,65.31,36.67,60,40.00,94.29,42.19,35.35,31.79
2601121404,Monday,Post-Asia,172.73,0.00,56.67,176.80,5,24,0,3.88,61.54,63.16,48.72,50.98,51,60.00,100.00,36.07,32.22,34.53
2601141040,Wednesday,Pre-Asia,172.73,0.00,61.61,207.49,7,35,0,3.74,50.00,63.46,63.04,39.13,69,60.00,89.19,48.00,33.04,59.30
2601151015,Thursday,Pre-Asia,172.73,0.00,53.03,165.42,5,27,0,4.20,47.62,49.18,60.00,32.86,70,66.67,92.68,35.16,31.06,23.65
2601160213,Friday,Pre-NA,172.73,0.00,64.84,221.16,7,48,0,3.49,69.23,60.78,67.19,49.40,83,50.00,92.45,45.33,41.41,71.97
2601171848,Sunday,Pre-EU,172.73,0.00,63.30,230.74,8,36,0,3.62,56.52,55.26,72.92,42.03,69,80.00,95.45,41.54,40.37,66.00
2601191138,Monday,Pre-Asia,172.73,0.00,68.75,175.36,3,39,0,4.12,71.43,64.29,71.64,36.36,99,33.33,90.00,53.57,41.67,48.31
2601201411,Tuesday,Post-Asia,172.73,0.00,63.43,168.13,5,28,0,4.40,58.62,64.15,65.39,27.06,85,60.00,95.12,49.46,30.60,55.61
2601211541,Thursday,Asia-EU,172.73,0.00,60.00,207.93,7,36,0,3.58,42.31,52.83,75.00,49.38,81,30.00,91.11,44.44,33.33,55.52
2601240810,Saturday,NA-Asia,172.73,0.00,61.54,211.90,6,33,0,3.58,77.27,48.98,69.70,40.62,64,60.00,96.97,45.07,31.73,61.96
2601241546,Sunday,Asia-EU,172.73,0.00,65.00,221.47,6,28,0,3.74,52.63,65.39,72.41,44.62,65,40.00,97.14,47.69,35.00,73.74
2601250516,Sunday,Post-NA,172.73,0.00,70.90,206.91,6,46,0,3.95,64.00,71.19,74.00,43.16,95,50.00,93.02,60.44,32.09,74.11
2601261410,Monday,Post-Asia,172.73,0.00,66.04,213.14,6,53,0,3.69,68.97,67.21,63.77,31.43,105,58.33,93.33,49.49,37.74,72.39
2601301437,Friday,Post-Asia,172.73,-5.70,57.05,189.34,6,36,0,3.80,66.67,50.82,58.62,35.29,85,50.00,94.34,36.46,35.57,16.70
2602011658,Monday,Asia-EU,167.07,1.80,73.17,204.82,2,31,0,4.33,85.00,65.31,75.93,31.11,90,100.00,97.92,57.33,39.02,85.29
2602031022,Tuesday,Pre-Asia,168.84,-2.80,59.74,197.90,7,38,0,3.97,68.97,63.64,50.85,38.04,92,25.00,88.68,44.55,34.42,16.93
2602031619,Wednesday,Asia-EU,166.03,-0.20,62.96,244.02,7,33,0,3.47,63.16,65.22,60.47,51.47,68,40.00,96.97,48.00,30.56,61.17
2602042002,Thursday,Post-EU,165.86,-1.40,60.19,205.14,4,31,0,3.83,62.50,54.72,66.67,35.38,65,40.00,90.62,47.37,29.63,5.70
2602061239,Friday,Post-Asia,164.50,0.80,68.46,245.70,9,46,0,3.77,63.33,76.12,61.54,37.25,102,50.00,92.42,49.40,44.30,80.15
2602071500,Sunday,Post-Asia,165.34,-1.10,67.42,175.97,2,28,0,4.45,75.86,60.38,70.00,22.47,89,60.00,94.23,50.00,39.39,51.14
2602091602,Tuesday,Asia-EU,164.19,-1.80,65.71,228.56,5,35,0,3.75,73.33,71.05,59.62,40.58,69,20.00,97.30,48.53,35.24,47.63
2602111107,Wednesday,Pre-Asia,162.37,-0.40,70.80,233.97,9,43,0,3.75,80.77,68.12,69.05,47.42,97,33.33,93.55,52.00,45.26,85.65
2602111620,Thursday,Asia-EU,161.97,-2.40,66.43,183.65,1,34,1,4.16,74.19,62.00,66.10,33.33,93,40.00,91.30,54.26,32.86,33.03
2602131029,Friday,Pre-Asia,159.59,0.60,65.61,208.15,5,46,0,4.01,79.41,57.38,66.13,35.92,103,8.33,90.91,51.96,35.03,49.70
2602151018,Sunday,Pre-Asia,160.21,1242.80,60.00,184.85,5,41,0,4.09,70.97,58.57,55.93,34.38,96,83.33,85.37,51.26,25.62,45.00
2602170635,Tuesday,NA-Asia,140.30,0.97,71.53,199.54,6,55,0,3.58,91.67,64.15,70.15,37.86,103,66.67,94.00,59.57,34.72,56.63
2602211142,Saturday,Pre-Asia,141.27,-1.72,63.70,172.21,6,36,0,3.90,68.00,66.67,58.93,36.05,86,50.00,93.48,48.31,34.07,23.05
2602241336,Tuesday,Post-Asia,139.55,0.71,73.77,210.29,6,48,0,3.60,86.67,67.31,76.36,43.33,90,16.67,92.31,60.00,42.62,60.62
2602260643,Thursday,NA-Asia,140.26,-2.19,64.49,167.91,4,42,0,3.87,66.67,67.21,60.38,38.20,89,80.00,94.00,47.73,36.23,22.87
2603051345,Thursday,Post-Asia,138.06,1.90,67.57,181.26,8,37,0,4.05,76.92,65.62,65.52,26.00,100,41.67,94.83,50.00,39.19,34.56
2603080629,Sunday,NA-Asia,139.96,-1.14,63.96,178.95,5,30,0,3.76,68.18,58.00,69.23,30.99,71,20.00,94.59,48.65,33.33,14.63
2603081621,Monday,Asia-EU,138.82,-3.14,57.52,151.23,3,26,0,4.05,53.33,56.52,59.62,29.23,65,60.00,97.30,38.16,32.74,18.20
2603091023,Monday,Pre-Asia,135.68,5.03,68.15,190.66,9,41,0,4.09,72.73,65.62,68.33,38.32,107,100.00,96.36,52.94,35.03,75.17
2603091606,Tuesday,Asia-EU,140.71,-0.64,68.00,174.29,4,48,0,4.11,65.62,73.02,63.64,40.20,102,40.00,93.33,57.14,30.00,45.63
2603131003,Friday,Pre-Asia,140.07,0.50,61.34,185.34,5,40,0,3.66,70.59,64.91,53.33,47.95,73,60.00,89.19,48.78,31.09,47.59
2603171602,Wednesday,Asia-EU,140.57,2.25,72.32,232.08,11,43,0,3.47,79.17,60.47,80.00,46.91,81,80.00,89.80,58.73,43.75,82.68
2603210954,Saturday,Pre-Asia,142.82,2.76,70.68,208.79,13,39,0,3.95,84.00,66.07,69.23,36.17,94,66.67,95.65,57.47,34.59,91.67
2603211606,Sunday,Asia-EU,145.59,-0.28,64.81,205.20,7,36,0,3.46,47.37,68.18,68.89,51.43,70,40.00,97.14,49.31,32.41,40.11
2603220930,Sunday,Pre-Asia,145.31,0.96,63.50,173.50,6,32,0,3.93,59.26,62.69,67.44,41.38,87,58.33,91.67,48.31,35.04,33.10
2603230724,Monday,NA-Asia,146.27,0.13,68.18,197.79,5,46,0,3.69,59.38,63.41,76.27,38.89,90,50.00,95.83,52.38,36.36,62.45
2603231619,Tuesday,Asia-EU,146.40,-0.34,57.84,170.30,3,30,0,3.69,58.82,53.33,62.50,42.37,59,60.00,89.66,45.20,28.43,7.59
2603251554,Thursday,Asia-EU,146.06,-2.36,58.87,133.63,5,24,0,4.36,62.50,61.70,54.72,27.40,73,16.67,91.67,38.16,38.71,5.28
