Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601011247,Thursday,Post-Asia,95.27,0.00,32.05,70.12,0,19,0,4.36,25.00,37.88,29.63,24.00,50,33.33,79.25,7.77,33.97,50.00
2601061215,Tuesday,Pre-Asia,95.27,0.00,25.00,72.12,5,11,0,4.14,13.04,26.41,30.00,31.03,29,16.67,65.00,3.95,34.48,33.52
2601071142,Wednesday,Pre-Asia,95.27,0.00,37.61,100.79,1,19,1,3.89,27.78,40.91,43.24,27.27,44,50.00,76.09,12.68,39.32,79.39
2601121404,Monday,Post-Asia,95.27,0.00,20.21,45.62,0,5,0,4.16,27.78,22.22,12.90,21.05,19,20.00,54.17,8.57,25.53,22.16
2601151015,Thursday,Pre-Asia,95.27,0.00,34.04,73.98,2,11,2,4.98,28.57,34.85,35.19,18.75,48,66.67,80.00,12.50,31.91,75.88
2601161232,Friday,Post-Asia,95.27,0.00,30.41,65.68,1,15,0,4.80,22.73,31.67,31.82,22.22,45,33.33,82.98,5.94,31.76,43.43
2601170753,Saturday,NA-Asia,95.27,0.00,28.68,68.98,1,11,0,4.19,37.50,34.09,21.31,21.62,37,50.00,74.42,5.81,33.33,36.02
2601201411,Tuesday,Post-Asia,95.27,0.00,36.67,116.81,4,13,1,4.09,20.00,33.33,48.65,33.33,33,60.00,82.35,8.93,37.78,81.04
2601260234,Monday,Post-NA,95.27,0.00,36.96,100.63,5,17,0,4.02,33.33,40.00,35.48,31.37,51,83.33,74.55,12.05,39.85,83.28
2601301437,Friday,Post-Asia,95.27,0.00,26.85,79.28,3,13,0,4.22,20.00,27.87,29.31,25.00,40,50.00,74.42,7.55,28.86,38.83
2602010552,Sunday,NA-Asia,95.27,0.00,28.85,84.07,4,11,0,3.80,29.41,28.57,28.95,36.67,30,50.00,82.86,1.45,33.65,54.00
