Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2602190855,Thursday,Pre-Asia,90.00,9.88,36.17,97.43,3,25,0,3.92,80.00,18.64,25.53,37.25,51,66.67,95.83,23.93,17.02,50.00
2602200956,Friday,Pre-Asia,99.88,6.52,48.28,124.69,3,24,0,3.93,85.71,24.44,54.00,26.79,56,100.00,100.00,25.93,30.17,68.43
2602260643,Thursday,NA-Asia,106.40,-3.04,39.81,116.19,2,18,1,3.71,91.67,25.00,43.59,36.59,41,60.00,100.00,17.33,27.18,34.03
2603050703,Thursday,NA-Asia,103.36,-0.92,44.04,115.12,1,22,0,3.90,100.00,31.25,26.32,37.50,48,20.00,100.00,27.38,22.94,57.76
2603080629,Sunday,NA-Asia,102.44,-1.72,39.68,80.53,1,14,1,4.48,87.50,31.48,25.00,14.00,50,40.00,96.00,25.74,19.84,20.00
2603120838,Thursday,Pre-Asia,100.72,9.68,42.54,92.72,3,18,0,4.30,78.26,26.79,43.64,24.56,57,66.67,97.06,24.00,25.37,57.03
2603131003,Friday,Pre-Asia,110.40,-5.23,44.55,104.00,1,18,1,4.29,100.00,36.59,23.91,34.69,49,40.00,100.00,29.89,20.91,51.90
2603140817,Saturday,NA-Asia,105.17,4.22,46.53,125.75,2,22,0,3.92,89.47,34.09,39.47,38.30,47,100.00,100.00,23.94,29.70,78.46
2603150731,Sunday,NA-Asia,109.39,-1.96,34.44,95.03,6,24,0,3.83,90.91,28.57,21.21,34.62,52,33.33,96.88,17.65,21.19,18.66
2603171301,Tuesday,Post-Asia,107.42,6.63,49.57,140.76,6,29,0,3.47,100.00,32.73,45.00,44.83,58,50.00,100.00,28.92,29.06,90.71
2603200843,Friday,Pre-Asia,114.06,1.11,40.71,115.83,6,22,2,3.91,84.21,19.64,46.15,36.84,57,66.67,100.00,21.70,24.29,46.75
2603210707,Saturday,NA-Asia,115.17,-3.15,46.51,113.06,4,20,0,4.15,100.00,36.21,39.62,31.67,60,0.00,100.00,21.59,31.78,53.56
2603220930,Sunday,Pre-Asia,112.02,-1.37,46.09,117.65,1,25,0,3.97,92.59,34.48,32.56,28.81,59,8.33,100.00,25.81,27.34,59.56
2603250123,Wednesday,Pre-NA,110.65,-4.24,38.53,92.59,1,16,0,4.07,86.96,20.83,31.58,35.71,42,0.00,92.31,21.69,23.85,8.64
2603300642,Monday,NA-Asia,106.41,-1.37,40.00,100.75,2,14,1,3.95,93.75,30.23,30.43,30.95,42,20.00,95.65,24.39,21.91,13.84
2604010549,Wednesday,NA-Asia,105.04,3.90,52.38,130.69,4,24,0,3.96,96.15,40.38,41.67,31.82,66,83.33,97.14,35.16,27.78,84.15
2604020651,Thursday,NA-Asia,108.94,2.55,44.12,118.29,4,24,0,3.83,95.65,32.08,35.00,28.33,60,66.67,97.44,22.68,28.68,65.21
2604080258,Wednesday,Post-NA,111.49,-1.53,36.77,81.04,3,12,0,4.44,90.91,26.32,26.32,26.00,50,70.00,100.00,17.31,23.53,18.50
2604090435,Thursday,Post-NA,109.96,0.43,46.27,111.87,4,22,0,4.37,89.47,43.64,35.00,25.81,62,60.00,97.67,21.98,32.09,57.40
2604110718,Saturday,NA-Asia,110.39,-0.59,47.65,136.42,6,32,0,3.73,90.00,37.14,36.73,40.85,71,50.00,100.00,23.53,31.54,76.26
2604111104,Saturday,Pre-Asia,109.80,2.42,47.41,132.90,3,33,0,3.84,90.62,34.09,33.90,37.50,64,70.00,97.37,27.84,28.15,87.78
2604150427,Wednesday,Post-NA,112.22,-1.58,46.61,115.66,0,22,0,3.96,95.24,28.85,44.44,43.64,55,20.00,96.00,33.33,21.19,51.20
2604160913,Thursday,Pre-Asia,110.64,-1.41,39.84,93.91,1,17,0,4.35,100.00,31.58,19.15,27.45,51,50.00,100.00,20.62,24.22,16.73
2604170151,Friday,Pre-NA,109.23,-0.79,34.07,109.83,3,15,0,3.61,63.64,21.43,39.47,45.16,31,33.33,100.00,14.29,23.08,19.46
2604181030,Saturday,Pre-Asia,108.44,2.04,42.86,119.36,3,26,0,3.75,91.67,22.41,43.14,28.07,57,66.67,97.44,20.21,29.32,56.14
2604200945,Monday,Pre-Asia,110.48,0.22,50.00,130.06,5,30,0,3.86,84.00,43.08,39.47,35.94,64,50.00,100.00,28.89,29.69,80.45
2604250702,Saturday,NA-Asia,110.70,-0.67,49.14,108.08,3,17,0,4.33,100.00,41.86,38.18,26.32,57,20.00,97.44,24.68,33.62,41.99
2605010624,Friday,NA-Asia,110.03,4.06,43.75,171.41,6,22,0,3.00,100.00,27.03,45.45,60.00,35,80.00,95.45,24.14,27.50,65.33
2605011134,Friday,Pre-Asia,114.09,0.33,41.67,138.88,8,23,0,3.51,100.00,28.26,31.82,44.44,45,33.33,93.55,20.78,28.70,37.10
2605021006,Saturday,Pre-Asia,114.42,-3.56,44.54,114.33,3,29,0,3.98,86.96,41.18,26.67,35.85,53,0.00,97.14,22.62,29.41,26.02
