Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,110.61,0.00,37.50,122.20,5,17,2,3.85,34.62,34.15,43.24,33.33,39,40.00,82.93,7.94,39.42,50.00
2601041654,Monday,Asia-EU,110.61,0.00,39.50,105.52,3,17,1,4.38,27.59,30.61,58.54,31.91,47,60.00,86.05,13.16,36.13,58.90
2601142226,Thursday,Post-EU,110.61,0.00,42.86,99.19,2,13,0,4.52,43.48,41.46,44.12,26.19,42,80.00,78.05,17.54,41.84,50.56
2601151819,Friday,Pre-EU,110.61,0.00,34.78,86.21,3,15,2,4.17,26.32,18.18,51.92,40.00,40,50.00,81.58,11.69,33.04,23.52
2601160213,Friday,Pre-NA,110.61,0.00,31.11,78.47,2,4,0,4.50,40.00,19.05,42.10,21.43,14,33.33,76.92,12.50,28.89,19.39
2601161232,Friday,Post-Asia,110.61,0.00,39.85,113.84,6,23,0,4.34,40.00,33.96,46.00,26.42,53,83.33,81.13,12.50,39.85,70.73
2601161904,Saturday,Pre-EU,110.61,0.00,38.18,110.83,5,20,0,3.83,30.00,45.76,29.03,30.95,42,100.00,73.91,12.50,41.82,62.32
2601171848,Sunday,Pre-EU,110.61,0.00,34.78,77.19,2,10,2,4.75,45.83,26.09,37.78,22.50,40,30.00,73.91,8.70,40.00,16.62
2601201411,Tuesday,Post-Asia,110.61,0.00,42.86,156.60,4,22,1,3.69,41.18,35.29,50.00,48.72,39,80.00,86.49,12.96,40.66,81.89
2601211541,Thursday,Asia-EU,110.61,0.00,27.83,71.64,0,11,0,4.25,35.71,24.53,29.17,34.38,32,80.00,66.67,12.20,28.70,28.70
2601212224,Thursday,Post-EU,110.61,0.00,35.63,93.02,2,12,0,4.23,61.11,28.20,30.00,32.26,31,80.00,69.23,21.31,29.89,38.11
2601241546,Sunday,Asia-EU,110.61,0.00,43.52,113.09,4,13,0,4.53,47.06,38.00,48.78,27.66,47,20.00,88.89,11.11,41.67,66.90
2601260234,Monday,Post-NA,110.61,0.00,31.78,95.21,4,14,0,3.77,33.33,30.43,32.50,29.41,34,33.33,79.31,14.10,27.10,35.99
2601261410,Monday,Post-Asia,110.61,0.00,44.36,148.60,5,30,0,3.64,55.56,33.96,50.00,35.59,59,91.67,88.68,15.00,39.85,86.97
2601271914,Wednesday,Pre-EU,110.61,0.00,31.39,87.73,1,9,0,3.85,10.00,38.46,29.73,29.63,27,0.00,73.08,13.33,30.23,18.52
2601291924,Friday,Pre-EU,110.61,0.00,36.11,98.38,3,15,0,3.90,33.33,33.33,39.22,30.77,39,20.00,76.32,14.29,35.19,38.10
2601302229,Saturday,Post-EU,110.61,13.20,37.42,100.64,2,24,1,4.33,30.00,35.94,40.84,32.76,58,50.00,76.19,10.87,40.65,51.49
2602042002,Thursday,Post-EU,123.81,0.00,36.59,113.07,4,16,1,4.27,38.09,28.57,43.40,31.11,45,40.00,78.26,11.69,37.40,39.86
2602050049,Thursday,Pre-NA,123.85,-1.60,43.15,128.46,4,23,0,4.43,43.48,38.98,46.88,31.75,63,20.00,82.46,17.98,39.04,69.13
2602072156,Sunday,Post-EU,122.29,4.10,42.22,143.66,4,19,1,3.87,31.82,45.45,45.71,36.84,38,80.00,92.59,20.64,30.00,89.62
2602111620,Thursday,Asia-EU,126.38,2.10,39.42,136.82,5,18,0,3.85,33.33,42.50,39.13,41.46,41,60.00,79.31,24.00,27.89,73.52
2602142238,Sunday,EU-NA,128.44,-6.50,36.96,87.98,1,16,2,4.69,44.12,34.04,35.09,13.73,51,20.00,67.80,13.92,42.75,11.80
2602151248,Sunday,Post-Asia,121.93,959.30,43.10,157.27,4,27,1,3.60,54.55,32.65,48.89,30.00,50,66.67,86.49,22.79,31.90,90.74
2602211352,Saturday,Post-Asia,108.12,-3.71,43.15,82.28,3,17,0,4.73,40.00,39.34,48.33,23.81,63,33.33,74.07,25.00,36.99,40.44
2603081621,Monday,Asia-EU,104.41,-0.29,37.50,96.33,2,19,0,4.11,38.09,31.71,41.38,40.00,45,0.00,76.09,13.51,38.33,12.25
2603090200,Monday,Pre-NA,104.12,-1.29,35.45,83.78,3,15,1,4.18,18.75,39.53,37.26,35.90,39,33.33,90.00,15.00,27.27,19.65
2603091606,Tuesday,Asia-EU,102.83,1.55,44.00,120.08,4,23,0,4.13,50.00,38.60,47.83,36.36,55,50.00,78.00,21.33,40.00,66.62
2603092230,Tuesday,EU-NA,104.37,-0.84,43.69,89.33,2,13,0,4.58,57.90,43.75,36.11,13.33,45,70.00,92.11,15.38,36.89,38.24
2604080258,Wednesday,Post-NA,103.53,0.33,48.15,185.56,2,8,0,3.23,28.57,62.50,50.00,46.15,13,100.00,88.89,27.78,33.33,69.42
2604111104,Saturday,Pre-Asia,103.86,0.28,29.82,82.01,0,16,1,3.71,20.83,28.95,34.62,38.24,34,80.00,78.12,10.98,28.07,12.72
2604121308,Sunday,Post-Asia,104.14,-2.46,38.17,98.56,4,19,2,4.34,34.62,29.63,49.02,28.00,50,20.00,80.44,15.29,35.12,16.44
2604221205,Wednesday,Pre-Asia,101.68,-0.69,37.60,107.47,5,21,1,3.81,25.00,42.86,34.78,29.79,47,20.00,75.61,19.05,32.80,23.06
2604251753,Sunday,Pre-EU,100.99,3.51,47.33,116.75,3,21,2,4.27,50.00,43.18,49.18,33.87,62,70.00,73.44,22.39,48.85,82.75
2605051833,Wednesday,Pre-EU,104.50,-0.86,48.54,153.13,4,28,0,3.42,52.94,42.86,52.27,44.00,50,20.00,83.72,23.33,41.75,71.35
2605162148,Sunday,Post-EU,103.64,-8.86,36.13,79.17,3,17,0,4.51,26.67,29.79,43.86,18.60,43,20.00,68.29,19.23,34.45,15.38
2605232205,Sunday,Post-EU,94.77,8.42,38.32,94.51,3,17,0,4.32,36.36,27.91,50.00,41.46,41,60.00,70.00,19.40,37.38,41.88
2605241211,Sunday,Pre-Asia,103.19,-7.50,38.52,93.34,3,21,0,4.23,39.29,29.63,47.17,28.85,52,50.00,78.26,17.98,34.07,18.05
2605261351,Tuesday,Post-Asia,95.69,1.93,42.61,143.37,10,30,0,3.31,41.18,41.67,44.00,51.02,49,100.00,74.42,23.61,37.39,86.61
2605281811,Friday,Pre-EU,97.62,-0.09,36.99,84.55,3,19,1,4.41,28.57,31.43,47.27,27.78,54,83.33,71.67,12.79,41.10,34.30
2605302052,Sunday,Post-EU,97.53,-0.11,33.67,80.67,2,10,0,3.97,44.44,25.64,36.59,33.33,33,60.00,57.90,18.33,38.78,29.98
2606011104,Monday,Pre-Asia,97.43,1.31,41.49,102.83,3,15,0,3.95,19.05,39.39,55.00,30.77,39,60.00,88.23,15.00,36.17,56.47
2606021745,Wednesday,Pre-EU,98.73,-0.11,42.00,97.31,3,15,0,4.12,62.50,40.00,35.90,33.33,42,20.00,73.17,20.34,41.00,48.38
2606091809,Wednesday,Pre-EU,98.62,0.07,39.34,125.71,8,30,0,3.29,41.38,33.33,46.15,54.17,48,33.33,85.37,16.05,33.61,69.45
2606121416,Friday,Post-Asia,98.69,-1.35,36.00,118.84,7,30,0,3.04,32.00,31.03,45.24,51.11,45,0.00,60.71,15.94,44.80,32.28
2607131430,Monday,Post-Asia,97.34,2.22,43.75,127.23,7,17,0,4.00,41.67,34.38,52.50,35.71,42,80.00,82.86,21.31,36.46,87.46
2607151055,Wednesday,Pre-Asia,99.56,-0.07,36.52,91.00,4,18,0,4.17,11.77,39.58,42.00,30.95,42,50.00,61.91,21.92,36.52,32.22
2607191039,Sunday,Pre-Asia,99.49,-1.45,35.66,71.20,2,13,0,4.76,28.12,26.83,46.43,15.22,46,20.00,73.81,17.24,32.56,15.10
