Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,93.79,0.00,33.61,115.50,4,22,1,3.78,33.33,31.82,35.29,41.46,41,60.00,76.19,11.25,34.43,50.00
2601050457,Monday,Post-NA,93.79,0.00,34.41,87.27,2,12,0,4.00,40.91,28.20,37.50,21.88,32,0.00,65.71,15.52,37.63,36.54
2601071142,Wednesday,Pre-Asia,93.79,0.00,29.66,88.60,3,16,0,3.89,48.15,20.00,27.45,40.00,35,50.00,75.00,9.76,30.51,37.16
2601121404,Monday,Post-Asia,93.79,0.00,23.08,54.65,1,10,1,4.38,35.00,19.15,21.62,16.67,24,60.00,62.96,9.09,25.96,17.83
2601142226,Thursday,Post-EU,93.79,0.00,23.33,85.36,2,17,1,3.39,26.67,20.41,24.39,50.00,28,40.00,64.86,4.82,30.83,24.23
2601160213,Friday,Pre-NA,93.79,0.00,22.77,52.72,0,8,0,4.39,28.57,25.00,19.15,21.74,23,33.33,62.07,6.94,28.71,13.88
2601161904,Saturday,Pre-EU,93.79,0.00,25.58,66.19,2,10,0,4.23,16.67,25.00,34.62,45.45,22,60.00,76.19,9.23,24.42,40.05
2601170250,Saturday,Post-NA,93.79,0.00,18.68,37.95,0,5,1,4.76,25.00,15.38,19.44,23.53,17,33.33,39.29,9.52,30.77,17.73
2601171848,Sunday,Pre-EU,93.79,0.00,26.36,86.44,5,11,0,4.10,39.29,20.00,23.40,34.48,29,80.00,67.74,10.13,28.18,74.01
2601240810,Saturday,NA-Asia,93.79,0.00,35.71,91.81,1,15,2,4.25,37.50,29.17,41.67,25.00,40,80.00,71.43,14.29,37.50,77.28
2601262254,Tuesday,EU-NA,93.79,9.90,26.55,73.15,2,12,0,4.03,33.33,24.00,26.19,30.00,30,40.00,70.27,5.26,32.74,61.47
