Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601291924,Friday,Pre-EU,120.14,0.00,41.12,97.73,2,15,0,4.27,44.44,40.48,40.43,31.82,44,60.00,97.22,12.68,33.65,50.00
2601301437,Friday,Post-Asia,120.14,0.00,37.20,90.72,1,16,0,4.39,37.50,45.16,29.03,16.39,61,58.33,95.12,17.89,25.00,36.40
2601301922,Saturday,Pre-EU,120.14,0.00,34.43,87.99,1,18,0,4.00,34.62,40.35,25.64,33.33,42,50.00,87.50,21.43,19.67,30.67
2601311606,Sunday,Asia-EU,120.14,7.10,42.64,118.49,4,25,0,3.93,45.45,45.45,38.46,34.55,55,83.33,87.88,27.08,25.58,86.56
2602011658,Monday,Asia-EU,127.24,-7.10,37.72,109.44,0,17,0,4.05,32.00,30.36,54.55,34.88,43,20.00,95.24,24.73,18.42,48.42
2602022101,Tuesday,Post-EU,120.14,-4.10,39.62,117.62,2,17,0,4.14,50.00,45.24,29.55,26.19,42,20.00,96.30,20.25,25.47,45.19
2602031619,Wednesday,Asia-EU,116.03,-1.00,34.86,117.34,3,14,0,3.97,18.18,44.68,32.50,31.58,38,40.00,96.00,16.67,22.94,39.49
2602042002,Thursday,Post-EU,115.08,0.00,33.06,98.20,4,11,0,4.29,45.45,30.77,30.00,29.27,41,60.00,100.00,17.82,18.55,43.19
2602050049,Thursday,Pre-NA,115.08,-0.90,35.62,106.85,5,16,1,4.50,47.83,38.98,28.12,34.62,52,20.00,87.88,20.35,22.60,45.99
2602051836,Friday,Pre-EU,114.13,-1.80,36.77,93.47,3,16,0,4.79,46.67,35.38,33.33,22.81,57,33.33,90.91,22.13,21.29,29.04
2602052043,Friday,Post-EU,112.30,3.20,37.19,108.48,3,17,0,4.31,33.33,37.26,38.46,28.89,45,83.33,91.67,14.12,29.75,61.36
2602061239,Friday,Post-Asia,115.53,0.60,39.85,91.59,2,14,0,4.82,42.86,38.60,39.62,25.45,55,50.00,96.15,26.79,18.84,72.43
2602071500,Sunday,Post-Asia,116.14,-1.20,35.83,88.57,2,13,0,4.77,31.03,42.22,32.61,20.93,43,40.00,76.92,24.47,21.67,18.63
2602072156,Sunday,Post-EU,114.97,-1.60,50.00,124.58,1,22,0,4.30,35.71,57.63,44.68,21.67,60,40.00,90.32,35.95,25.83,61.83
2602111107,Wednesday,Pre-Asia,113.41,1.20,44.93,115.15,2,20,0,4.36,45.83,46.27,42.55,22.58,62,50.00,94.87,25.25,28.26,88.74
2602111620,Thursday,Asia-EU,114.57,0.70,34.56,86.46,1,14,0,4.38,42.31,36.36,29.09,21.28,47,80.00,88.00,22.52,18.38,33.15
2602121847,Friday,Pre-EU,115.28,0.40,39.82,97.19,1,12,0,4.49,38.89,41.18,38.64,15.56,45,66.67,86.67,22.89,26.55,42.50
2602131029,Friday,Pre-Asia,115.67,-4.80,27.39,49.90,0,9,0,5.14,47.06,21.31,22.58,11.63,43,8.33,81.48,16.15,17.20,3.24
2602142238,Sunday,EU-NA,110.87,0.20,37.81,94.57,2,10,0,4.53,4.76,47.92,42.00,17.78,45,40.00,91.43,15.48,29.41,46.48
2602151248,Sunday,Post-Asia,111.03,0.40,35.34,112.58,2,21,2,3.88,36.36,42.86,26.67,26.83,41,66.67,93.55,14.12,26.72,58.00
2602151911,Monday,Pre-EU,111.48,818.60,38.84,103.60,2,15,0,4.47,31.25,35.71,44.44,40.00,40,33.33,88.89,21.05,26.21,62.97
2602171440,Tuesday,Post-Asia,93.00,-0.89,38.18,85.38,1,14,0,4.19,57.14,25.93,42.86,26.19,42,33.33,92.59,20.48,24.55,29.09
2602181122,Wednesday,Pre-Asia,92.12,-0.23,33.58,84.70,4,19,0,4.33,42.86,32.81,28.89,32.61,46,16.67,96.55,16.67,21.17,23.79
2602192118,Friday,Post-EU,91.89,0.00,41.29,95.20,1,24,0,4.16,55.26,40.32,32.73,26.56,64,83.33,97.30,23.73,23.87,72.86
2602200956,Friday,Pre-Asia,91.89,0.35,49.23,101.06,2,20,0,4.52,53.85,47.06,49.06,26.56,64,30.00,82.93,33.71,31.54,60.19
2602201901,Saturday,Pre-EU,92.24,2.21,43.14,114.69,2,22,0,3.71,50.00,34.88,48.78,43.18,44,50.00,100.00,28.39,20.59,70.59
2602211352,Saturday,Post-Asia,94.46,0.49,43.33,95.83,1,16,0,4.33,50.00,47.73,37.04,26.92,52,50.00,84.38,28.41,26.67,58.88
2602241113,Tuesday,Pre-Asia,94.95,0.51,38.14,65.95,0,10,0,4.67,23.81,47.27,33.33,17.78,45,33.33,95.24,25.77,17.80,26.16
2602242102,Wednesday,Post-EU,95.45,1.64,45.20,95.57,4,24,0,4.49,46.67,48.39,40.74,24.24,66,50.00,95.35,24.27,29.45,63.83
2602251607,Thursday,Asia-EU,97.09,-2.09,32.67,74.68,0,14,0,4.49,27.78,36.17,30.56,30.30,33,40.00,86.36,17.72,21.78,7.44
2602281316,Saturday,Post-Asia,95.00,-1.59,32.10,78.14,1,11,1,4.04,22.22,39.47,26.47,42.31,26,20.00,75.00,24.64,14.81,16.08
2603021604,Tuesday,Asia-EU,93.42,1.88,43.18,93.18,4,19,0,4.65,46.43,42.86,41.67,22.81,57,83.33,100.00,25.74,23.48,90.43
2603042212,Thursday,Post-EU,95.30,-1.06,38.09,74.77,1,16,0,4.64,44.44,38.57,34.00,17.86,56,33.33,89.19,20.91,25.17,12.86
2603051345,Thursday,Post-Asia,94.24,3.36,51.61,122.97,4,27,0,4.34,63.89,44.44,51.79,26.25,80,75.00,98.18,26.00,35.48,91.95
2603062211,Saturday,Post-EU,97.61,1.45,48.06,104.47,6,16,0,4.71,52.00,51.72,41.30,22.58,62,80.00,92.31,28.89,30.23,88.79
2603081621,Monday,Asia-EU,99.06,-1.04,38.54,82.78,1,12,0,4.41,66.67,41.67,23.81,24.32,37,80.00,87.50,22.22,25.00,11.97
2603090200,Monday,Pre-NA,98.02,-1.02,38.18,82.42,3,15,0,4.36,31.25,46.51,33.33,33.33,42,33.33,88.00,23.53,22.73,14.27
2603091606,Tuesday,Asia-EU,97.00,1.76,44.14,105.81,3,17,0,4.29,50.00,46.00,40.43,22.45,49,60.00,84.85,26.92,29.73,75.31
2603092230,Tuesday,EU-NA,98.77,0.25,44.96,74.94,2,13,0,5.16,41.38,43.75,48.08,20.69,58,30.00,94.74,24.18,29.46,56.76
2603101304,Tuesday,Post-Asia,99.02,3.37,35.92,111.56,6,18,0,3.62,22.73,43.18,35.13,37.84,37,83.33,92.59,15.79,26.21,61.57
2603101857,Wednesday,Pre-EU,102.39,1.67,43.51,95.25,2,20,0,4.47,44.12,39.29,48.78,28.07,57,66.67,91.43,26.04,26.72,74.30
2603121924,Friday,Pre-EU,104.05,-1.36,40.95,78.69,2,12,0,4.87,38.46,45.10,38.00,15.38,52,50.00,93.55,23.96,24.41,24.48
2603171602,Wednesday,Asia-EU,102.69,2.73,56.60,143.34,5,23,0,4.12,52.94,56.41,58.00,33.33,60,60.00,97.14,36.62,33.02,92.27
2603181145,Wednesday,Pre-Asia,105.42,-1.50,44.94,116.41,2,18,0,3.77,27.78,50.00,48.28,32.50,40,40.00,100.00,30.00,21.35,59.55
2603192215,Friday,Post-EU,103.93,-2.45,35.34,76.70,1,15,0,4.44,58.82,36.73,26.00,19.51,41,50.00,92.59,17.98,23.28,9.21
2603201153,Friday,Pre-Asia,101.48,1.50,45.16,95.42,2,17,0,4.41,57.90,40.82,44.64,26.79,56,66.67,92.86,31.25,22.58,70.36
2603201902,Saturday,Pre-EU,102.99,0.69,41.82,103.50,5,18,0,4.11,66.67,34.78,40.82,28.26,46,33.33,100.00,23.81,23.64,49.98
2603211606,Sunday,Asia-EU,103.68,-0.32,31.82,75.41,1,10,0,4.18,33.33,34.88,26.67,35.71,28,60.00,84.21,17.39,21.59,13.60
2603231619,Tuesday,Asia-EU,103.36,-1.81,40.00,67.61,0,10,0,5.04,39.13,34.15,45.65,18.18,44,20.00,87.10,21.52,28.18,6.76
2603232237,Tuesday,EU-NA,101.54,-0.34,37.50,109.31,1,22,0,3.62,42.86,32.56,39.58,38.10,42,66.67,90.00,26.09,17.86,44.15
2603251554,Thursday,Asia-EU,101.20,-0.83,47.58,94.40,2,15,0,4.59,62.50,46.81,41.51,16.95,59,16.67,97.22,27.27,29.03,53.72
2603252154,Thursday,Post-EU,100.37,0.88,41.59,95.31,3,17,0,4.23,37.50,39.58,46.34,25.53,47,33.33,96.00,26.14,22.12,55.36
2603271441,Friday,Post-Asia,101.25,-2.43,41.56,94.39,2,21,0,4.06,54.05,43.40,32.81,28.12,64,33.33,94.59,24.79,24.03,54.71
2603271914,Saturday,Pre-EU,98.82,-0.74,41.74,98.68,3,19,0,4.04,43.48,34.15,47.06,29.17,48,40.00,93.75,21.69,27.83,58.75
2603311355,Tuesday,Post-Asia,98.08,-0.74,35.66,84.77,2,19,0,4.13,38.46,40.00,31.75,26.09,46,0.00,87.50,18.56,24.81,10.16
2604032123,Saturday,Post-EU,97.35,0.26,49.18,95.80,3,16,0,4.72,54.17,50.00,44.74,20.00,60,40.00,94.12,31.82,27.87,88.68
2604061117,Monday,Pre-Asia,97.61,0.79,47.75,98.99,6,22,1,4.65,55.17,50.70,42.31,27.06,85,66.67,92.50,34.78,22.47,91.34
2604061800,Tuesday,Pre-EU,98.40,0.50,39.58,101.88,2,24,0,3.77,44.00,46.77,29.82,33.33,57,41.67,97.06,21.82,23.61,64.90
2604080258,Wednesday,Post-NA,98.90,1.11,44.62,89.25,1,16,0,4.64,35.00,50.91,41.82,25.86,58,20.00,96.55,29.70,22.31,65.53
2604101817,Saturday,Pre-EU,100.01,0.98,49.09,106.57,3,16,0,4.41,54.17,51.11,43.90,24.07,54,80.00,89.29,35.37,25.45,76.35
2604121308,Sunday,Post-Asia,100.99,-0.76,45.80,90.00,3,14,0,4.72,42.31,51.85,41.18,15.00,60,20.00,100.00,29.70,22.90,48.23
