Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601240810,Saturday,NA-Asia,100.00,15.70,40.98,111.76,1,23,0,3.94,34.78,43.48,41.51,20.00,50,40.00,75.61,23.46,33.61,50.00
2602030746,Tuesday,NA-Asia,115.68,10.00,44.55,169.31,7,26,1,3.56,52.38,51.11,31.43,37.78,45,40.00,67.57,31.25,36.63,56.83
2602040729,Wednesday,NA-Asia,125.71,873.80,26.09,87.29,2,13,0,3.70,27.27,23.08,27.91,43.33,30,50.00,64.29,13.79,24.35,34.03
2603171301,Tuesday,Post-Asia,99.95,8.46,41.44,134.95,5,36,0,3.00,58.33,40.00,38.78,45.65,46,83.33,76.92,22.22,35.13,66.59
2603220930,Sunday,Pre-Asia,108.41,0.71,39.84,104.33,2,21,1,4.08,29.03,46.15,40.00,35.29,51,83.33,73.33,21.69,35.16,38.33
2603232237,Tuesday,EU-NA,109.12,2.84,33.33,123.44,5,25,0,3.07,24.00,36.84,34.15,63.41,41,33.33,79.49,11.90,31.71,34.86
2603250123,Wednesday,Pre-NA,111.96,2.92,43.75,129.55,3,27,0,3.66,41.67,44.90,43.64,39.29,56,66.67,74.55,20.55,42.97,61.85
2603260442,Thursday,Post-NA,114.88,-0.24,41.67,105.28,4,28,0,4.13,43.33,37.14,45.59,31.43,70,58.33,83.87,16.98,36.91,43.58
2603300642,Monday,NA-Asia,114.64,1.02,44.33,117.52,4,19,0,3.95,40.91,54.84,38.64,27.91,43,80.00,74.36,24.14,40.21,46.16
2604040654,Saturday,NA-Asia,115.66,-3.34,36.61,97.22,2,16,0,3.95,33.33,30.43,43.14,31.71,41,60.00,67.39,15.15,41.07,8.13
2604050106,Sunday,Pre-NA,112.31,5.05,36.75,122.73,3,28,0,3.21,34.78,41.30,33.33,44.19,43,66.67,84.21,13.92,32.48,41.21
2604090435,Thursday,Post-NA,117.37,-2.66,40.50,97.67,3,16,2,4.37,42.86,39.29,41.18,30.61,49,40.00,77.50,22.22,33.06,43.77
2604100500,Friday,Post-NA,114.71,-1.17,37.17,92.94,2,16,0,4.14,12.50,53.66,32.14,33.33,42,20.00,68.18,17.39,38.94,5.72
2604150427,Wednesday,Post-NA,113.54,-1.70,42.35,120.61,3,16,0,3.78,56.25,33.33,44.44,38.89,36,60.00,79.41,17.65,40.00,58.05
2604182100,Sunday,Post-EU,111.84,4.31,52.88,168.09,9,30,0,3.35,57.90,48.65,54.17,43.64,55,83.33,82.98,28.07,45.19,97.66
2604190448,Sunday,Post-NA,116.15,-0.21,42.55,100.88,3,22,1,4.13,46.88,37.93,45.10,28.33,60,50.00,86.36,22.68,31.21,42.70
2604240700,Friday,NA-Asia,115.94,-2.43,39.20,119.15,4,29,0,3.37,44.00,47.92,28.85,53.06,49,16.67,62.74,22.97,40.80,40.38
2604251753,Sunday,Pre-EU,113.51,-1.86,39.45,110.58,4,21,0,3.86,12.50,52.08,40.54,32.56,43,20.00,81.82,21.05,30.27,28.60
2604260618,Sunday,NA-Asia,111.65,1.85,39.02,138.83,5,22,0,3.09,16.67,38.23,47.22,56.25,32,80.00,79.17,22.41,29.27,74.00
2604270127,Monday,Pre-NA,113.50,0.43,42.24,137.55,6,29,0,3.29,47.62,32.50,47.27,42.86,49,16.67,72.00,19.70,43.10,62.26
2605010624,Friday,NA-Asia,113.93,-2.22,36.28,95.54,2,18,0,3.88,33.33,45.00,30.61,36.59,41,40.00,71.80,17.57,34.51,4.30
2605080437,Friday,Post-NA,111.71,1.34,48.08,141.01,4,25,0,3.86,20.00,47.62,57.45,42.00,50,40.00,80.49,26.98,39.42,88.78
2605100702,Sunday,NA-Asia,113.05,0.70,48.25,105.19,1,20,1,4.42,52.63,36.96,57.14,29.09,55,40.00,71.15,29.03,45.61,56.09
2605130452,Wednesday,Post-NA,113.75,0.39,54.10,145.29,5,29,0,3.94,50.00,57.90,51.35,36.36,66,40.00,74.07,38.23,44.26,71.34
2605140501,Thursday,Post-NA,114.13,-0.21,48.85,141.83,4,29,0,3.81,47.06,51.85,46.67,35.94,64,66.67,77.78,28.57,41.22,79.69
2605160712,Saturday,NA-Asia,113.92,0.69,45.05,141.63,4,23,0,3.49,47.06,36.67,50.00,36.59,41,40.00,86.84,15.09,41.76,67.20
2605162148,Sunday,Post-EU,114.61,3.68,56.10,165.93,8,31,0,3.77,58.82,59.32,51.06,33.33,69,100.00,68.33,44.44,48.78,82.54
2605180359,Monday,Post-NA,118.29,-0.22,42.86,101.68,2,18,0,4.02,50.00,41.86,40.00,29.17,48,60.00,77.27,20.59,39.29,17.34
2605190414,Tuesday,Post-NA,118.07,-0.95,39.56,119.53,1,21,0,3.44,26.32,38.89,47.22,41.67,36,33.33,88.46,20.00,28.57,17.97
2605190626,Tuesday,NA-Asia,117.12,-0.05,42.22,132.81,3,17,0,3.74,33.33,44.12,44.74,39.47,38,80.00,72.97,20.75,41.11,32.50
2605200404,Wednesday,Post-NA,117.08,1.30,46.09,120.39,4,19,0,4.27,50.00,42.86,46.94,32.20,59,50.00,80.77,22.37,40.62,44.80
2605210438,Thursday,Post-NA,118.37,1.18,51.70,163.75,8,32,0,3.59,27.27,60.87,54.00,36.07,61,33.33,85.71,20.97,47.46,79.64
2605220401,Friday,Post-NA,119.55,1.27,47.79,153.01,6,29,0,3.65,57.14,53.49,41.07,46.30,54,33.33,78.00,23.81,44.25,62.85
2605230428,Saturday,Post-NA,120.82,-13.19,41.18,91.98,0,18,0,4.34,50.00,48.21,31.03,21.43,56,50.00,80.39,17.65,37.50,14.38
2605232205,Sunday,Post-EU,107.64,10.31,54.13,128.49,4,22,1,4.14,65.22,63.41,40.00,32.20,59,60.00,84.44,32.81,41.28,74.56
2605240620,Sunday,NA-Asia,117.94,-9.68,50.41,156.65,5,33,0,3.55,52.63,50.00,50.00,41.94,62,50.00,86.67,29.49,36.59,70.41
2605250503,Monday,Post-NA,108.26,-1.08,49.15,132.12,3,27,0,3.88,61.91,46.00,46.81,31.03,58,66.67,85.11,25.35,39.83,76.80
2605280737,Thursday,NA-Asia,107.18,-1.14,44.23,87.10,1,14,0,4.57,46.67,47.06,39.47,17.39,46,20.00,81.25,27.78,30.77,28.66
2605302052,Sunday,Post-EU,106.04,-0.36,38.78,99.96,2,13,0,3.87,38.89,25.64,51.22,34.21,38,60.00,79.41,17.19,34.69,32.86
2605310851,Sunday,Pre-Asia,105.69,-1.55,42.34,87.34,1,16,0,4.55,26.67,56.60,30.23,25.53,47,40.00,75.68,25.68,33.33,17.71
2605311917,Monday,Pre-EU,104.14,0.90,52.73,146.15,5,30,0,3.64,54.55,60.42,42.50,37.93,58,0.00,87.23,26.98,42.73,91.45
2606010210,Monday,Pre-NA,105.04,-0.94,48.65,102.55,1,23,1,4.43,33.33,58.82,42.37,29.17,72,80.00,75.71,24.36,47.30,48.90
2606030618,Wednesday,NA-Asia,104.09,1.06,58.68,142.69,5,29,0,4.03,60.00,54.17,62.79,30.99,71,66.67,89.83,29.03,48.76,95.74
2606040237,Thursday,Post-NA,105.16,1.59,47.69,141.30,6,30,0,3.50,40.00,63.27,37.50,56.45,62,33.33,82.50,32.22,30.77,72.11
2606060823,Saturday,NA-Asia,106.74,0.81,53.16,161.30,5,22,1,3.52,55.56,55.88,50.00,52.38,42,60.00,80.49,23.68,51.90,71.81
2606110729,Thursday,NA-Asia,107.55,-0.81,50.41,126.16,3,26,3,4.21,39.13,59.62,45.83,35.48,62,60.00,87.04,21.74,43.90,58.05
2606120712,Friday,NA-Asia,106.73,-1.82,41.75,111.95,5,19,0,4.12,30.43,43.90,46.15,41.86,43,16.67,89.74,12.50,37.86,22.30
2606131757,Sunday,Pre-EU,104.92,0.99,41.27,108.00,3,20,0,3.85,48.28,38.78,39.58,40.38,52,50.00,85.71,19.05,33.33,43.46
2606140418,Sunday,Post-NA,105.91,0.64,55.07,107.51,2,19,1,4.47,54.55,61.91,47.17,23.68,76,40.00,80.30,31.94,47.83,57.08
2606151814,Tuesday,Pre-EU,106.54,2.36,57.14,137.28,2,24,0,4.03,52.00,59.46,58.00,28.12,64,50.00,85.71,40.00,37.50,86.63
2606210153,Sunday,Pre-NA,108.90,-0.02,51.61,135.14,5,20,1,3.81,52.94,59.52,41.18,33.33,48,40.00,82.22,22.92,48.39,39.91
2606202302,Sunday,EU-NA,108.89,1.26,47.46,130.39,2,30,0,3.61,64.71,46.15,42.86,39.29,56,83.33,82.93,28.57,34.75,53.61
2606211321,Sunday,Post-Asia,110.15,-1.40,42.19,105.67,1,26,0,3.83,27.27,56.25,36.21,37.04,54,66.67,82.00,16.67,39.06,11.40
2606212018,Monday,Post-EU,108.75,-0.72,47.11,107.53,3,22,0,4.26,57.14,46.43,43.18,33.33,57,66.67,84.44,25.00,37.19,34.35
2606221519,Tuesday,Post-Asia,108.02,-1.51,50.00,115.17,4,24,1,4.21,45.45,42.62,60.78,26.87,67,40.00,84.61,28.05,38.81,43.21
2606222304,Tuesday,EU-NA,106.51,0.22,47.97,126.45,4,29,0,3.71,50.00,59.09,37.26,47.46,59,40.00,87.81,28.05,33.33,74.12
2606251513,Friday,Post-Asia,106.74,1.61,55.00,128.03,2,26,0,4.12,38.09,59.52,57.90,22.73,66,40.00,88.53,20.34,50.83,74.13
2606271740,Sunday,Pre-EU,108.35,-0.11,48.78,104.75,1,20,0,4.40,69.23,45.83,46.77,21.67,60,40.00,82.76,18.46,47.15,14.24
2606281724,Monday,Asia-EU,108.23,-0.80,42.48,108.31,2,18,1,4.08,44.44,46.81,37.50,41.67,48,40.00,72.34,21.21,41.59,8.69
2606290521,Monday,Post-NA,107.43,-0.86,43.57,110.06,5,27,0,3.98,18.52,49.27,50.00,42.62,61,83.33,85.11,22.58,33.57,32.44
2606300753,Tuesday,NA-Asia,106.57,-0.22,46.67,128.43,4,44,0,3.79,38.23,50.85,47.22,27.27,77,83.33,84.48,26.17,35.15,67.46
2607070402,Tuesday,Post-NA,106.35,1.12,52.63,162.85,8,38,0,3.42,51.85,56.10,50.00,53.33,60,80.00,91.67,24.24,42.10,93.95
2607080131,Wednesday,Pre-NA,107.47,-0.75,44.76,94.68,1,17,0,4.17,38.89,46.34,45.65,17.02,47,20.00,65.85,31.25,39.05,15.21
2607080548,Wednesday,NA-Asia,106.72,0.82,46.08,117.67,3,19,0,3.92,23.81,50.00,53.49,31.91,47,100.00,81.08,26.15,36.27,47.48
2607110505,Saturday,Post-NA,107.54,0.87,54.00,138.97,4,22,0,4.04,38.46,65.96,45.00,46.30,54,60.00,73.81,39.66,42.00,79.21
2607112122,Sunday,Post-EU,108.41,-1.11,48.76,114.90,6,23,0,4.19,41.67,56.00,44.68,32.20,59,0.00,88.89,25.00,37.19,35.11
2607142114,Wednesday,Post-EU,107.30,-0.63,38.62,122.74,8,35,0,3.41,38.46,49.09,29.69,39.29,56,50.00,76.74,22.55,29.66,29.73
2607160432,Thursday,Post-NA,106.67,0.00,44.58,88.04,0,22,1,4.39,44.74,44.12,45.00,18.92,74,75.00,77.61,22.22,40.36,29.65
2607172308,Saturday,EU-NA,106.67,1.91,56.45,149.48,6,31,0,3.66,50.00,59.52,57.69,34.29,70,33.33,87.72,29.85,45.97,89.15
2607180638,Saturday,NA-Asia,108.58,-0.08,47.42,103.72,2,14,0,4.33,42.10,50.00,47.83,15.22,46,80.00,83.87,30.30,31.96,38.77
2607200549,Monday,NA-Asia,108.50,-0.78,46.79,122.74,4,26,0,3.84,43.48,40.00,56.10,41.18,51,20.00,75.00,27.69,40.37,28.83
2607210603,Tuesday,NA-Asia,107.72,-1.59,50.43,114.04,4,20,0,4.25,47.37,62.22,41.51,22.03,59,60.00,84.91,21.88,45.30,44.67
2607240459,Friday,Post-NA,106.14,0.56,43.92,104.97,3,17,0,4.00,42.86,45.00,43.48,31.91,47,60.00,82.35,26.03,31.78,39.14
2607280800,Tuesday,NA-Asia,106.70,0.39,54.37,141.63,3,26,0,4.00,50.00,63.27,45.65,32.14,56,60.00,89.36,25.00,45.63,76.48
2607290435,Wednesday,Post-NA,107.09,0.60,62.33,141.52,5,34,0,4.25,71.43,68.33,51.72,25.27,91,60.00,82.19,42.47,50.00,83.98
2607300409,Thursday,Post-NA,107.69,2.91,62.19,147.43,5,33,0,3.87,62.96,64.00,59.52,31.08,74,100.00,94.00,39.13,42.02,95.65
2608010630,Saturday,NA-Asia,110.60,-0.18,42.42,124.40,6,21,0,3.48,7.14,41.03,54.35,54.76,42,16.67,88.23,18.46,34.34,32.76
2608040458,Tuesday,Post-NA,110.42,2.23,55.05,145.69,5,26,0,3.75,68.75,55.32,50.00,31.67,60,90.00,86.00,28.81,45.87,79.70
2608040716,Tuesday,NA-Asia,112.64,-1.34,52.50,114.99,0,15,0,4.19,41.18,54.29,57.14,33.33,42,20.00,75.86,39.22,36.25,30.32
2608050644,Wednesday,NA-Asia,111.30,0.05,53.24,105.24,1,21,0,4.50,56.52,57.14,45.65,25.68,74,50.00,81.48,35.29,38.85,37.76
2608060755,Thursday,NA-Asia,111.36,-0.23,49.18,117.77,4,22,0,4.13,41.67,44.90,57.14,30.00,60,20.00,79.25,26.09,43.44,9.91
2608080130,Saturday,Pre-NA,111.12,0.21,53.70,124.85,4,22,0,4.19,39.13,60.00,53.33,31.03,58,40.00,79.59,32.20,45.37,35.91
2608082203,Sunday,Post-EU,111.33,0.35,48.06,92.16,0,19,0,4.40,45.83,52.54,43.48,16.13,62,100.00,76.92,28.57,40.31,16.86
2608092116,Monday,Post-EU,111.69,0.22,52.85,137.19,8,31,0,3.92,36.36,50.00,61.82,38.46,65,80.00,82.76,26.15,47.15,54.98
2608151720,Sunday,Asia-EU,111.91,0.21,52.07,156.19,5,40,0,3.25,46.43,64.44,43.75,46.03,63,50.00,89.58,27.40,39.67,55.55
2608170418,Monday,Post-NA,112.12,-1.08,63.37,148.93,2,25,0,4.12,66.67,60.00,64.44,37.50,64,20.00,86.28,40.00,50.49,67.97
