Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601041654,Monday,Asia-EU,107.74,0.00,43.44,116.73,1,22,0,4.17,55.56,34.09,45.10,28.30,53,60.00,89.80,12.33,40.16,50.00
2601071657,Thursday,Asia-EU,107.74,0.00,45.86,88.11,1,21,0,4.96,50.00,45.68,44.12,16.87,83,50.00,87.01,15.38,42.54,47.43
2601161904,Saturday,Pre-EU,107.74,0.00,43.56,116.71,1,19,1,3.77,46.15,39.22,48.65,34.09,44,40.00,84.09,12.28,43.56,41.31
2601170753,Saturday,NA-Asia,107.74,0.00,34.88,100.23,3,17,0,3.84,41.67,36.36,31.15,24.44,45,50.00,80.95,12.64,32.56,21.24
2601191138,Monday,Pre-Asia,107.74,16.70,50.37,122.63,4,22,0,4.46,45.83,52.73,50.00,28.99,69,41.67,87.30,18.92,45.98,89.87
2602042002,Thursday,Post-EU,124.46,-4.30,35.00,107.36,3,19,1,4.24,28.57,28.00,44.90,33.33,42,40.00,80.95,10.26,35.00,13.65
2602061807,Saturday,Pre-EU,120.15,4.00,51.39,132.60,1,28,0,4.24,54.17,51.56,50.00,22.97,74,66.67,89.55,18.18,46.53,89.07
2602111620,Thursday,Asia-EU,124.18,-0.10,36.54,117.80,4,16,0,4.03,33.33,35.00,39.13,42.11,38,60.00,84.38,15.28,30.77,44.33
2602151911,Monday,Pre-EU,124.03,942.60,33.02,90.79,3,11,0,4.49,21.74,40.00,32.56,31.43,35,66.67,88.46,15.00,24.53,54.26
2602160834,Monday,Pre-Asia,106.66,-3.31,38.14,68.12,0,11,0,4.53,43.48,26.00,48.89,17.78,45,33.33,80.44,11.11,38.98,4.25
2602171440,Tuesday,Post-Asia,103.35,-2.64,38.19,96.25,4,21,1,4.20,38.71,33.33,44.68,36.36,55,33.33,85.71,7.96,38.89,23.71
2602281316,Saturday,Post-Asia,100.72,0.10,34.78,93.80,5,16,0,4.08,37.50,27.91,39.29,37.50,40,60.00,83.33,6.85,36.52,19.88
2603021604,Tuesday,Asia-EU,100.82,-1.98,37.06,82.64,4,16,2,4.60,40.00,22.92,46.15,22.64,53,16.67,74.07,14.61,37.76,21.90
2603070501,Saturday,Post-NA,98.84,0.70,36.72,97.53,3,20,0,4.06,30.00,33.33,42.59,34.04,47,50.00,83.67,7.59,38.28,22.13
2603091023,Monday,Pre-Asia,99.54,-3.26,41.03,86.88,1,21,0,4.69,31.25,37.50,50.00,26.56,64,16.67,85.25,12.63,39.10,45.79
2603091606,Tuesday,Asia-EU,96.28,-0.04,39.33,96.39,5,22,1,4.44,37.50,36.51,43.64,32.20,59,40.00,86.21,9.78,38.67,45.80
2603151856,Monday,Pre-EU,96.24,-1.82,35.00,89.31,2,18,0,4.03,53.85,33.33,30.30,34.29,35,60.00,81.25,13.23,32.00,28.55
2603160811,Monday,NA-Asia,94.41,2.28,39.22,109.45,7,26,0,3.83,38.46,37.18,42.86,31.67,60,58.33,82.76,12.63,37.91,68.38
2603201902,Saturday,Pre-EU,96.69,3.85,37.72,110.03,5,21,0,3.60,45.45,35.19,38.78,39.53,43,83.33,77.08,9.09,42.10,62.09
2603210954,Saturday,Pre-Asia,100.54,-0.24,44.29,94.32,2,19,0,4.58,46.88,43.33,43.75,20.97,62,16.67,86.44,13.58,42.14,63.18
2603211606,Sunday,Asia-EU,100.30,-0.17,32.23,103.92,4,23,0,3.56,50.00,27.59,31.11,53.85,39,60.00,71.43,11.39,34.71,45.76
2603290443,Sunday,Post-NA,100.12,-0.37,28.57,92.41,2,18,0,3.25,20.00,36.73,22.92,53.12,32,33.33,68.57,10.39,31.25,13.33
2604041820,Sunday,Pre-EU,99.75,1.81,37.50,101.03,3,18,0,4.07,40.00,33.33,41.86,35.71,42,80.00,74.47,10.77,41.96,59.04
2604101817,Saturday,Pre-EU,101.56,2.32,50.91,128.47,3,25,1,4.07,52.38,36.36,64.44,28.57,56,60.00,94.00,15.00,45.45,88.55
2604201915,Tuesday,Pre-EU,103.89,-0.84,32.73,97.76,3,19,0,3.72,22.73,22.73,47.73,44.44,36,33.33,85.29,9.21,30.91,19.71
2604251753,Sunday,Pre-EU,103.05,2.27,43.61,87.71,2,17,2,4.74,38.09,49.15,39.62,24.14,58,100.00,78.95,17.11,42.86,64.27
2605060857,Wednesday,Pre-Asia,105.32,-2.83,30.56,69.67,1,17,1,4.48,16.67,34.69,33.85,15.91,44,8.33,75.56,10.10,31.25,2.68
2605081800,Saturday,Pre-EU,102.49,-1.04,38.58,92.91,4,23,0,4.26,44.44,29.73,41.27,32.65,49,50.00,84.09,14.46,34.65,46.63
2605111757,Tuesday,Pre-EU,101.45,-1.89,39.17,94.97,1,17,0,4.11,47.37,38.78,36.54,31.91,47,50.00,70.83,18.06,40.00,39.99
2605151239,Friday,Post-Asia,99.57,-0.80,45.16,91.87,2,11,0,4.50,50.00,30.77,57.90,19.05,42,25.00,88.23,20.34,36.56,46.23
2605201810,Thursday,Pre-EU,98.76,1.10,40.58,107.75,3,30,0,3.91,45.45,35.82,44.90,32.14,56,50.00,81.03,11.25,42.03,77.21
2605211005,Thursday,Pre-Asia,99.86,-0.15,39.71,88.51,2,22,0,4.22,32.14,27.50,50.00,20.37,54,50.00,85.45,8.64,40.44,37.25
2605211404,Thursday,Post-Asia,99.71,-5.81,38.46,94.14,2,15,1,4.13,14.29,40.00,52.27,37.78,45,40.00,87.81,11.84,35.04,26.12
2605260841,Tuesday,Pre-Asia,93.91,-1.29,40.00,89.59,2,23,0,4.12,25.00,45.45,37.93,25.00,56,50.00,82.69,14.77,37.14,55.28
2605281549,Friday,Asia-EU,92.62,2.49,45.55,134.88,8,20,0,3.46,47.62,45.00,45.00,41.30,46,83.33,78.26,18.18,45.55,83.46
