Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2601031613,Sunday,Asia-EU,88.49,0.00,33.62,91.68,2,14,1,4.05,52.17,33.33,23.81,25.64,39,100.00,48.65,7.14,63.79,50.00
2601041654,Monday,Asia-EU,88.49,0.00,26.41,56.03,2,9,0,4.96,33.33,41.46,9.09,10.71,28,40.00,41.94,4.54,58.49,16.52
2601052355,Tuesday,EU-NA,88.49,0.00,26.26,66.55,3,9,0,3.81,50.00,30.23,14.29,23.08,26,33.33,37.50,5.71,64.65,26.68
2601060259,Tuesday,Post-NA,88.49,0.00,21.36,46.87,2,7,0,4.59,30.00,23.40,13.89,27.27,22,60.00,32.79,4.76,59.22,24.48
2601071657,Thursday,Asia-EU,88.49,0.00,32.94,55.14,1,10,4,5.20,44.00,37.35,22.58,12.50,56,66.67,43.65,2.27,74.12,50.82
2601082226,Friday,Post-EU,88.49,0.00,31.03,39.41,0,5,1,5.53,48.15,41.03,14.00,2.78,36,60.00,38.67,17.07,64.66,49.60
2601082232,Friday,EU-NA,88.49,0.00,31.03,39.41,0,5,1,5.53,48.15,41.03,14.00,2.78,36,60.00,38.67,17.07,64.66,49.35
2601090238,Friday,Post-NA,88.49,0.00,23.73,74.78,3,16,1,3.54,24.00,34.09,14.29,39.29,28,83.33,37.31,5.88,56.78,42.41
2601141713,Thursday,Asia-EU,88.49,0.00,32.39,71.65,3,12,2,4.72,41.38,39.68,18.00,19.57,46,50.00,46.32,4.25,66.90,68.77
2601142226,Thursday,Post-EU,88.49,0.00,33.33,57.78,0,7,0,4.94,40.74,34.38,27.91,5.88,34,20.00,50.77,2.70,63.73,46.99
2601170250,Saturday,Post-NA,88.49,0.00,27.19,75.47,1,15,0,4.07,47.06,29.17,18.37,38.71,31,66.67,34.62,11.11,68.42,54.69
2601200331,Tuesday,Post-NA,88.49,0.00,32.35,77.40,2,13,0,4.32,31.03,40.00,23.40,15.91,44,50.00,50.00,7.14,58.82,66.54
2601212224,Thursday,Post-EU,88.49,0.00,25.29,64.86,1,9,1,4.27,38.89,23.08,20.00,31.82,22,80.00,36.36,6.25,63.22,40.03
2601241546,Sunday,Asia-EU,88.49,0.00,24.80,40.20,0,4,3,5.19,28.57,26.67,22.03,12.90,31,80.00,44.29,0.00,56.00,26.29
2601260234,Monday,Post-NA,88.49,0.00,38.28,81.07,1,10,0,4.31,50.00,47.27,24.53,12.24,49,16.67,53.33,2.63,70.31,65.94
2601271914,Wednesday,Pre-EU,88.49,0.00,40.00,100.27,1,15,0,4.39,31.82,41.67,42.50,29.55,44,80.00,56.94,7.89,65.45,85.68
2601281906,Thursday,Pre-EU,88.49,0.00,39.66,103.26,3,17,0,4.20,56.00,34.04,36.36,23.91,46,60.00,60.87,8.51,59.48,84.97
2601291924,Friday,Pre-EU,88.49,0.00,29.29,76.59,0,14,0,3.97,39.13,37.93,19.15,31.03,29,60.00,40.68,12.50,59.60,48.00
2601302229,Saturday,Post-EU,88.49,0.00,29.68,57.00,0,11,1,4.91,40.00,40.62,16.90,17.39,46,50.00,43.30,6.90,62.58,28.82
2601311606,Sunday,Asia-EU,88.49,26.30,28.57,66.82,3,11,1,4.47,36.36,35.00,15.91,25.00,36,16.67,40.70,2.50,68.25,31.86
2602011658,Monday,Asia-EU,114.75,0.10,37.60,78.27,0,8,2,4.94,45.45,40.35,30.43,19.15,47,60.00,51.22,11.63,65.60,66.86
2602031619,Wednesday,Asia-EU,114.80,-1.60,25.39,67.76,1,11,1,4.24,33.33,35.85,10.00,24.24,33,40.00,42.25,5.08,54.62,9.18
2602042002,Thursday,Post-EU,113.23,0.00,33.33,73.98,1,8,0,4.81,40.91,43.59,17.14,18.75,32,60.00,46.97,3.33,68.75,32.56
2602050049,Thursday,Pre-NA,113.26,3.80,33.06,72.48,0,10,0,4.76,58.82,37.50,19.61,19.51,41,100.00,46.91,6.98,65.32,50.07
2602051836,Friday,Pre-EU,117.04,-2.30,30.32,63.32,0,12,2,5.06,56.67,24.61,23.33,19.15,47,33.33,47.92,1.70,61.94,14.71
2602052043,Friday,Post-EU,114.76,-3.20,25.41,59.27,1,8,1,4.58,40.00,20.51,20.75,29.03,31,33.33,41.18,5.56,55.74,10.10
2602061807,Saturday,Pre-EU,111.57,-1.40,32.67,64.94,0,13,1,4.86,27.59,30.30,38.18,20.41,49,50.00,42.00,14.00,66.67,41.28
2602071500,Sunday,Post-Asia,110.15,-1.40,38.89,58.79,0,6,1,5.41,61.91,40.91,25.58,7.14,42,20.00,51.39,13.89,66.67,48.40
2602072156,Sunday,Post-EU,108.75,0.20,28.16,73.37,0,12,2,4.21,50.00,37.21,11.36,27.59,29,60.00,36.11,9.68,69.90,38.95
2602081856,Monday,Pre-EU,108.96,-0.60,27.55,69.10,1,9,0,4.37,46.67,35.42,8.57,33.33,27,60.00,35.59,15.38,60.20,49.25
2602091602,Tuesday,Asia-EU,108.38,-1.30,27.10,63.17,0,8,0,4.59,45.00,28.00,16.22,17.24,29,50.00,44.26,4.35,57.01,16.85
2602111620,Thursday,Asia-EU,107.08,0.60,28.30,83.65,2,11,0,4.10,30.43,38.46,18.18,30.00,30,60.00,41.67,10.87,56.60,65.92
2602142238,Sunday,EU-NA,107.65,763.60,28.99,72.16,1,10,1,4.62,38.09,37.10,16.36,15.00,40,20.00,43.18,4.00,63.77,55.54
2602192118,Friday,Post-EU,87.13,0.37,32.30,64.08,0,17,0,4.56,40.62,40.00,18.64,17.31,52,41.67,41.96,10.20,69.56,44.07
2602210222,Saturday,Pre-NA,87.50,-1.61,24.18,46.57,0,6,0,4.54,30.43,32.43,9.68,22.73,22,40.00,35.71,5.71,61.54,8.81
2603062211,Saturday,Post-EU,85.89,0.04,25.55,46.38,0,8,1,4.63,32.14,27.59,19.61,17.14,35,40.00,33.67,5.13,71.53,6.55
2603081621,Monday,Asia-EU,85.93,-1.88,20.51,35.55,0,7,1,4.83,34.78,21.43,13.46,20.83,24,40.00,32.39,2.17,60.68,6.74
2603090200,Monday,Pre-NA,84.05,1.48,29.71,61.07,1,15,0,4.42,29.41,40.38,21.74,31.71,41,83.33,38.00,7.89,72.46,58.48
2603092230,Tuesday,EU-NA,85.53,-4.67,22.50,41.74,0,6,0,4.63,38.89,21.28,18.18,7.41,27,40.00,36.36,5.56,55.00,6.37
2603151856,Monday,Pre-EU,80.86,-0.01,27.84,67.79,1,12,0,4.04,38.89,30.95,18.92,29.63,27,60.00,40.68,7.89,60.83,64.83
2603171602,Wednesday,Asia-EU,80.85,-0.71,33.64,59.81,0,9,2,4.59,47.83,40.91,18.61,16.22,37,20.00,45.33,8.57,68.18,60.75
2603192215,Friday,Post-EU,80.14,-1.40,25.49,56.73,3,11,0,4.54,34.38,30.91,16.67,23.08,39,16.67,36.46,7.02,62.74,43.99
2603211606,Sunday,Asia-EU,78.74,0.48,24.07,55.50,0,11,1,4.08,42.86,23.40,15.00,23.08,26,60.00,38.60,7.84,52.78,64.50
2603231619,Tuesday,Asia-EU,79.22,0.07,29.41,63.48,1,11,0,4.37,47.06,26.67,25.00,20.00,30,60.00,39.71,8.82,66.67,86.58
2603271441,Friday,Post-Asia,79.29,1.52,29.66,59.73,1,9,0,4.33,37.93,36.84,18.64,13.95,43,100.00,42.71,4.08,66.21,79.63
2604032123,Saturday,Post-EU,80.81,0.56,30.77,48.41,1,9,1,5.25,28.57,33.33,28.57,16.67,36,60.00,43.42,7.32,64.96,73.13
2604080258,Wednesday,Post-NA,81.37,1.78,37.62,74.88,0,12,0,4.54,46.67,46.94,24.44,14.63,41,62.50,50.00,11.43,67.89,89.55
2604211807,Wednesday,Pre-EU,83.15,0.54,31.63,78.39,1,12,0,3.81,33.33,51.61,17.39,51.61,31,60.00,46.03,5.71,64.29,78.65
2604251753,Sunday,Pre-EU,83.69,0.57,32.38,47.18,0,6,1,5.06,45.45,35.42,20.00,8.82,34,40.00,44.74,0.00,72.38,47.29
2604270127,Monday,Pre-NA,84.26,-0.46,25.00,65.05,0,14,0,3.72,23.81,25.00,25.45,34.48,29,16.67,35.44,2.70,68.10,25.15
2605051833,Wednesday,Pre-EU,83.80,1.15,35.79,76.87,2,11,0,4.29,50.00,38.46,28.57,20.59,34,60.00,46.77,15.15,65.26,88.41
2605061544,Thursday,Asia-EU,84.95,1.41,33.33,72.65,2,13,0,3.82,43.75,42.10,22.22,27.27,33,50.00,45.07,3.57,71.72,74.44
2605081800,Saturday,Pre-EU,86.36,1.06,31.75,64.64,1,15,0,4.45,32.00,44.44,17.02,27.50,40,66.67,44.19,5.00,68.25,57.32
2605091352,Saturday,Post-Asia,87.42,3.14,41.52,113.61,3,28,0,3.39,52.94,45.28,33.33,44.90,49,66.67,56.79,8.11,68.64,97.09
2605112129,Tuesday,Post-EU,90.56,-0.83,22.77,51.04,0,9,0,4.52,26.09,16.67,27.78,30.43,23,40.00,38.89,4.25,53.47,8.82
2605121824,Wednesday,Pre-EU,89.73,1.02,33.10,67.84,1,15,2,4.17,50.00,43.75,19.12,17.02,47,50.00,40.38,13.16,73.24,44.98
2605162148,Sunday,Post-EU,90.75,1.66,36.56,93.60,2,12,0,3.88,33.33,37.84,36.59,41.18,34,80.00,48.57,0.00,75.27,81.31
2605181451,Monday,Post-Asia,92.41,-0.39,35.08,63.38,0,11,0,4.70,56.00,33.96,26.79,19.15,47,16.67,47.62,14.00,62.69,46.84
2605182103,Tuesday,Post-EU,92.02,-4.13,23.88,59.01,4,9,0,4.28,29.17,26.67,18.00,28.12,32,50.00,35.63,2.13,64.92,11.74
2605232205,Sunday,Post-EU,87.89,-0.37,34.11,43.91,0,6,1,5.18,42.10,43.48,17.78,11.36,44,80.00,44.44,10.26,69.77,42.85
2605261843,Wednesday,Pre-EU,87.52,-1.07,25.00,54.59,3,12,0,4.44,22.22,33.93,16.67,25.00,32,75.00,33.33,5.26,70.31,12.48
2605291802,Saturday,Pre-EU,86.45,-0.30,40.82,77.37,1,13,0,4.50,61.11,43.59,29.27,20.00,40,40.00,50.00,17.86,71.43,67.55
2606010210,Monday,Pre-NA,86.16,-0.31,35.16,59.15,0,10,0,4.71,52.00,36.36,27.12,8.89,45,40.00,47.06,11.63,66.41,52.91
