Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2602020257,Monday,Post-NA,60.00,24.80,8.51,20.74,1,2,0,4.25,12.50,6.52,9.38,25.00,8,16.67,58.33,1.22,12.77,50.00
2602102142,Wednesday,Post-EU,84.76,0.60,16.84,43.80,0,6,0,4.62,16.67,16.67,17.02,37.50,16,66.67,83.33,1.30,18.95,69.47
2602142238,Sunday,EU-NA,85.41,520.40,8.59,20.15,1,3,4,5.18,27.78,7.84,3.39,18.18,11,20.00,45.45,0.94,17.19,28.76
2602210222,Saturday,Pre-NA,60.58,1.09,12.26,28.92,0,6,1,4.00,20.00,11.54,10.26,23.08,13,40.00,64.71,2.25,16.04,54.72
2603092230,Tuesday,EU-NA,61.67,-0.38,15.53,28.11,0,4,2,4.88,9.52,17.07,17.07,25.00,16,40.00,83.33,6.59,11.65,60.85
2603171301,Tuesday,Post-Asia,61.29,3.08,17.12,59.58,4,13,0,3.05,16.67,20.00,14.29,63.16,19,83.33,94.44,2.15,16.22,70.34
2603201902,Saturday,Pre-EU,64.37,4.00,21.05,45.20,1,7,1,4.04,63.64,18.52,14.29,25.00,24,83.33,67.65,1.25,29.82,50.56
2603250123,Wednesday,Pre-NA,68.36,-0.08,8.70,18.90,0,3,0,4.40,5.88,8.51,9.80,30.00,10,66.67,52.94,1.02,14.78,11.86
2603252154,Thursday,Post-EU,68.28,-0.59,17.14,26.69,0,3,1,4.67,7.14,17.02,20.45,27.78,18,50.00,83.33,3.45,17.14,49.03
2603271914,Saturday,Pre-EU,67.69,2.67,12.20,41.51,2,9,3,3.27,9.09,10.00,15.69,46.67,15,80.00,66.67,0.98,17.07,35.69
2603290443,Sunday,Post-NA,70.37,4.06,13.56,46.72,5,8,0,3.56,20.00,16.28,9.09,43.75,16,100.00,68.18,1.04,18.64,43.54
2604040654,Saturday,NA-Asia,74.43,-0.68,11.58,33.91,1,5,1,4.09,25.00,6.45,11.54,45.45,11,40.00,50.00,3.80,16.84,25.82
2604041820,Sunday,Pre-EU,73.74,-2.53,24.27,41.16,1,5,1,5.08,16.00,18.42,35.00,16.00,25,0.00,79.31,2.70,28.16,61.36
2604050106,Sunday,Pre-NA,71.21,6.10,28.20,94.81,4,19,1,3.30,30.43,28.26,27.08,54.55,33,66.67,83.87,8.14,26.50,96.98
2604080258,Wednesday,Post-NA,77.31,1.18,13.60,35.45,0,9,1,4.12,8.00,12.50,18.18,35.29,17,50.00,62.50,1.98,19.20,6.37
2604152121,Thursday,Post-EU,78.50,-1.78,18.55,54.52,3,11,1,3.48,26.09,18.37,15.38,39.13,23,33.33,84.00,2.02,20.16,58.27
2604190448,Sunday,Post-NA,76.71,1.25,26.24,67.85,5,12,2,4.16,28.12,20.69,31.37,32.43,37,50.00,78.05,5.00,29.08,82.54
2604211807,Wednesday,Pre-EU,77.96,-0.06,14.77,24.84,0,3,2,4.69,10.00,16.13,16.22,15.38,13,20.00,76.92,4.00,14.77,22.52
2604250702,Saturday,NA-Asia,77.89,1.42,21.26,40.20,1,9,2,4.78,21.74,16.07,27.08,18.52,27,60.00,83.87,1.04,24.41,57.47
2604260429,Sunday,Post-NA,79.32,-0.77,20.17,54.65,2,12,0,3.50,12.50,21.95,20.97,37.50,24,50.00,66.67,6.52,22.69,59.01
2604291755,Thursday,Pre-EU,78.55,-1.45,16.10,37.56,0,8,1,4.05,6.67,16.67,18.18,31.58,19,16.67,69.56,3.16,19.49,6.15
2605080437,Friday,Post-NA,77.09,0.46,21.37,48.67,1,10,0,4.32,22.73,20.37,21.82,25.00,28,40.00,75.00,4.04,24.43,53.50
2605110454,Monday,Post-NA,77.55,0.30,15.79,40.58,2,9,1,4.06,17.39,12.96,18.92,11.11,18,66.67,78.95,3.16,16.67,23.36
2605122156,Wednesday,Post-EU,77.85,-2.20,15.69,39.21,1,6,2,4.06,5.56,15.09,22.58,25.00,16,60.00,83.33,1.19,17.65,20.38
2605140215,Thursday,Pre-NA,75.65,1.92,21.49,65.97,3,13,0,3.35,25.00,16.00,25.53,42.31,26,50.00,78.57,4.30,23.14,92.88
2605162148,Sunday,Post-EU,77.57,-0.86,12.90,36.75,1,5,0,3.67,0.00,21.62,9.76,50.00,12,80.00,66.67,4.94,12.90,25.74
2605200542,Wednesday,NA-Asia,76.72,-0.28,22.99,69.93,6,8,0,3.45,18.75,16.67,29.27,40.00,20,33.33,72.22,10.14,20.69,67.74
2605210438,Thursday,Post-NA,76.43,1.23,18.25,46.39,1,9,0,4.00,11.11,13.21,25.45,30.43,23,50.00,79.17,3.92,19.05,54.56
2605220401,Friday,Post-NA,77.67,0.38,20.37,60.15,3,9,1,3.82,16.67,19.15,23.26,40.91,22,66.67,76.19,6.90,19.44,88.47
2606040237,Thursday,Post-NA,78.05,-0.92,20.00,53.31,2,11,1,3.92,20.00,14.29,25.00,50.00,26,33.33,78.57,3.92,21.54,55.56
2606060823,Saturday,NA-Asia,77.13,0.90,18.45,49.67,2,10,0,3.74,0.00,26.19,16.33,31.58,19,40.00,78.26,1.25,22.33,45.70
2606151814,Tuesday,Pre-EU,78.03,0.83,22.83,57.82,2,9,1,4.00,41.18,23.68,13.51,33.33,21,60.00,78.26,4.35,25.00,79.01
2606172309,Thursday,EU-NA,78.87,-0.84,19.87,47.21,5,8,1,4.53,20.00,16.39,23.33,23.33,30,25.00,66.67,6.78,21.85,34.77
2606202302,Sunday,EU-NA,78.02,-0.38,18.42,33.14,0,8,2,4.48,15.00,21.74,16.67,23.81,21,50.00,64.29,3.49,24.56,12.45
2606211321,Sunday,Post-Asia,77.64,-1.25,17.97,43.18,1,10,0,4.17,18.18,16.67,18.97,30.43,23,66.67,82.14,0.00,21.88,27.85
2606290521,Monday,Post-NA,76.39,-0.15,20.48,51.50,4,15,2,3.97,21.21,26.03,13.33,32.35,34,33.33,81.25,5.97,19.28,59.77
2607032107,Saturday,Post-EU,76.24,-2.42,15.04,30.04,1,6,1,4.59,16.67,12.00,17.95,29.41,17,40.00,70.00,3.23,17.70,4.43
2607042147,Sunday,Post-EU,73.82,-0.71,20.14,38.64,2,10,3,4.66,16.67,20.75,20.90,13.79,29,50.00,78.57,6.03,19.44,50.48
2607060437,Monday,Post-NA,73.11,-1.92,17.46,40.83,1,9,1,4.23,14.29,21.15,15.09,45.45,22,33.33,79.17,2.94,19.05,23.17
2607070402,Tuesday,Post-NA,71.19,0.60,13.64,44.12,0,2,0,3.33,0.00,18.18,11.11,66.67,3,100.00,100.00,0.00,13.64,53.90
2607080131,Wednesday,Pre-NA,71.79,-0.36,20.95,52.63,3,9,1,4.09,44.44,17.07,15.22,22.73,22,20.00,72.00,5.00,23.81,68.26
2607100423,Friday,Post-NA,71.43,-1.03,17.65,33.92,0,6,0,4.39,10.00,20.00,16.67,16.67,18,40.00,72.22,5.95,17.65,27.95
2607110505,Saturday,Post-NA,70.40,-1.54,21.00,37.64,2,4,1,5.00,15.38,21.28,22.50,19.05,21,60.00,67.86,2.78,28.00,33.95
2607112122,Sunday,Post-EU,68.86,0.73,22.02,42.87,1,8,0,4.62,22.22,12.77,31.82,25.00,24,80.00,81.82,6.90,20.18,86.02
2607132045,Tuesday,Post-EU,69.59,1.32,23.53,58.85,2,11,0,4.12,15.38,30.23,19.57,37.50,24,66.67,79.17,6.41,23.53,93.17
2607161815,Friday,Pre-EU,70.91,-0.17,17.56,33.78,0,11,1,4.13,17.86,15.22,19.30,34.78,23,50.00,73.08,3.81,19.85,35.52
2607192357,Monday,EU-NA,70.74,-1.42,13.68,25.04,1,3,0,4.69,16.67,6.98,20.59,15.38,13,60.00,63.16,1.32,20.00,10.79
2607210603,Tuesday,NA-Asia,69.32,0.68,23.19,41.46,1,8,1,4.69,5.56,20.37,30.30,12.50,32,40.00,76.67,8.33,21.74,72.98
2607220118,Wednesday,Pre-NA,70.00,0.92,20.87,50.44,2,11,1,4.04,14.29,25.00,20.69,20.83,24,50.00,71.43,4.60,24.35,67.50
2607240459,Friday,Post-NA,70.92,1.64,24.30,67.46,3,11,0,3.81,33.33,25.00,19.57,34.62,26,60.00,92.59,1.25,25.23,86.58
2607250425,Saturday,Post-NA,72.56,1.01,24.75,70.30,3,13,1,3.76,17.39,16.13,34.04,44.00,25,40.00,76.92,6.67,25.74,87.69
2607290435,Wednesday,Post-NA,73.58,-0.88,15.57,25.27,0,3,1,4.74,12.50,14.00,18.75,21.05,19,30.00,70.00,4.90,16.39,10.64
2607300409,Thursday,Post-NA,72.70,0.46,14.46,38.74,2,5,0,3.83,10.53,15.79,15.38,41.67,12,20.00,83.33,2.82,14.46,32.08
2607312146,Saturday,Post-EU,73.16,-0.04,17.59,43.51,2,9,1,3.95,9.09,12.50,26.09,36.84,19,33.33,72.73,3.49,20.37,17.60
2608062112,Friday,Post-EU,73.12,-1.04,22.22,38.75,2,7,0,4.47,16.67,15.00,31.58,13.33,30,33.33,83.87,3.85,22.96,42.43
2608110509,Tuesday,Post-NA,72.08,-1.15,13.39,22.21,0,2,2,4.53,10.53,8.00,20.93,6.67,15,40.00,64.71,4.21,15.18,9.59
2608130124,Thursday,Pre-NA,70.94,1.53,23.93,47.43,2,11,0,4.50,31.82,18.18,27.50,28.57,28,66.67,85.19,5.56,23.08,94.50
2608160445,Sunday,Post-NA,72.47,0.56,24.00,42.47,2,4,1,4.88,9.52,34.78,18.18,25.00,24,100.00,91.30,3.90,23.00,63.88
2608172110,Tuesday,Post-EU,73.03,0.12,24.27,48.89,0,11,1,4.20,17.39,23.08,29.27,16.00,25,50.00,94.74,8.33,18.45,74.24
2608192109,Thursday,Post-EU,73.14,0.29,20.65,60.55,3,11,0,3.26,21.43,22.58,19.15,47.37,19,50.00,68.42,8.22,20.65,70.03
