Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Onlist Guess Rate,Offlist Guess Rate,Rig Rate,Rating
2603121924,Friday,Pre-EU,100.00,-41.22,13.59,24.68,0,4,0,4.71,16.67,8.33,16.28,14.29,14,20.00,50.00,6.90,15.53,50.00
2603131003,Friday,Pre-Asia,58.78,13.08,20.59,61.12,2,10,2,3.81,33.33,19.51,16.28,38.10,21,40.00,68.00,5.20,24.51,84.40
2603140817,Saturday,NA-Asia,71.86,6.71,23.77,67.62,3,12,1,3.86,37.50,18.52,22.73,34.48,29,40.00,75.00,8.51,22.95,96.19
2603151856,Monday,Pre-EU,78.57,1.59,16.67,58.67,2,12,0,3.06,11.11,20.93,14.63,58.82,17,40.00,70.59,5.88,16.67,63.87
2603160811,Monday,NA-Asia,80.16,1.54,19.57,58.46,3,13,0,3.70,20.00,8.77,31.37,40.74,27,41.67,61.11,4.90,26.09,70.20
2603171602,Wednesday,Asia-EU,81.70,-4.90,22.31,78.84,4,15,1,3.19,17.24,17.07,29.41,44.44,27,40.00,82.61,8.16,19.01,75.06
2603181145,Wednesday,Pre-Asia,76.80,0.07,19.74,51.14,2,6,0,4.20,20.00,16.00,22.22,33.33,15,60.00,75.00,9.38,15.79,61.79
2603191900,Friday,Pre-EU,76.87,-1.39,20.00,56.93,3,13,0,3.81,12.90,20.34,24.44,44.44,27,16.67,67.86,7.48,20.74,66.98
2603200843,Friday,Pre-Asia,75.48,-1.49,26.09,66.23,3,10,0,4.14,17.65,20.97,33.90,22.22,36,16.67,83.33,10.19,21.74,86.14
2603201153,Friday,Pre-Asia,73.99,1.33,23.39,52.73,1,11,1,4.41,21.05,14.29,32.14,31.03,29,66.67,82.61,9.90,18.55,71.92
